Country Code,Series Code,Year,Value
ALB,DP.DOD.DECD.CR.PS.CD,2021,11553756413.41313
ALB,DP.DOD.DECD.CR.PS.CD,2022,11803444977.132149
ALB,DP.DOD.DECD.CR.PS.CD,2023,14287758098.994356
ALB,DP.DOD.DECF.CR.PS.CD,2021,7202409032.08626
ALB,DP.DOD.DECF.CR.PS.CD,2022,7738228001.533983
ALB,DP.DOD.DECF.CR.PS.CD,2023,8659517479.130936
ALB,DP.DOD.DECN.CR.PS.CD,2021,9576197682.392782
ALB,DP.DOD.DECN.CR.PS.CD,2022,9298792392.820816
ALB,DP.DOD.DECN.CR.PS.CD,2023,11157958018.214457
ALB,DP.DOD.DECT.CR.PS.CD,2021,16778606714.479038
ALB,DP.DOD.DECT.CR.PS.CD,2022,17037020394.354815
ALB,DP.DOD.DECT.CR.PS.CD,2023,19817475497.345387
ALB,DP.DOD.DECX.CR.PS.CD,2021,5224850301.065893
ALB,DP.DOD.DECX.CR.PS.CD,2022,5233575417.222641
ALB,DP.DOD.DECX.CR.PS.CD,2023,5529717398.351044
ALB,DP.DOD.DLCD.CR.M1.PS.CD,2021,159186406.5882705
ALB,DP.DOD.DLCD.CR.M1.PS.CD,2022,166402725.64255524
ALB,DP.DOD.DLCD.CR.M1.PS.CD,2023,226035583.81874683
ALB,DP.DOD.DLCD.CR.PS.CD,2021,5765038972.776585
ALB,DP.DOD.DLCD.CR.PS.CD,2022,6037836552.325102
ALB,DP.DOD.DLCD.CR.PS.CD,2023,7364389184.547523
ALB,DP.DOD.DLDS.CR.L1.PS.CD,2021,907088078.7191418
ALB,DP.DOD.DLDS.CR.L1.PS.CD,2022,853507606.8387946
ALB,DP.DOD.DLDS.CR.L1.PS.CD,2023,1032436634.0262146
ALB,DP.DOD.DLDS.CR.M1.PS.CD,2021,4623956805.127407
ALB,DP.DOD.DLDS.CR.M1.PS.CD,2022,4862339391.284979
ALB,DP.DOD.DLDS.CR.M1.PS.CD,2023,5808056389.243289
ALB,DP.DOD.DLDS.CR.PS.CD,2021,6832033022.372633
ALB,DP.DOD.DLDS.CR.PS.CD,2022,6933743304.757143
ALB,DP.DOD.DLDS.CR.PS.CD,2023,8468354419.0203705
ALB,DP.DOD.DLLO.CR.L1.PS.CD,2021,5571760.28531228
ALB,DP.DOD.DLLO.CR.L1.PS.CD,2022,25508642.45483076
ALB,DP.DOD.DLLO.CR.L1.PS.CD,2023,28152993.973262258
ALB,DP.DOD.DLLO.CR.M1.PS.CD,2021,4011491968.89456
ALB,DP.DOD.DLLO.CR.M1.PS.CD,2022,3795919210.945877
ALB,DP.DOD.DLLO.CR.M1.PS.CD,2023,3711766684.318119
ALB,DP.DOD.DLLO.CR.PS.CD,2021,4017063729.1798716
ALB,DP.DOD.DLLO.CR.PS.CD,2022,3821427853.4007053
ALB,DP.DOD.DLLO.CR.PS.CD,2023,3739919678.2913847
ALB,DP.DOD.DLOA.CR.PS.CD,2021,4873807.357480821
ALB,DP.DOD.DLOA.CR.PS.CD,2022,4009354.874791709
ALB,DP.DOD.DLOA.CR.PS.CD,2023,3356628.487945836
ALB,DP.DOD.DLSD.CR.M1.PS.CD,2021,159597182.79248133
