Series Code,Series Name
DP.DOD.DECD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECN.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECX.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECF.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECT.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.MV.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.FC.Z1,"Gross PSD, Financial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.FC.Z1,"Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.FC.Z1,"Gross PSD, Financial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
