Series Code,Series Name
DP.DOD.DECD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP"
DP.DOD.DECN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP"
DP.DOD.DECX.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, % of GDP"
DP.DOD.DECF.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP"
DP.DOD.DECT.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.MV.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
DP.DOD.DLDS.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., All maturities, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DLSD.CR.M1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP"
DP.DOD.DLTC.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP"
DP.DOD.DLCD.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DLDS.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
DP.DOD.DLIN.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DLLO.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP"
DP.DOD.DLOA.CR.L1.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP"
DP.DOD.DSTC.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, % of GDP"
DP.DOD.DSCD.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, % of GDP"
DP.DOD.DSDS.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, % of GDP"
DP.DOD.DSIN.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
DP.DOD.DSLO.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, % of GDP"
DP.DOD.DSOA.CR.NF.Z1,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, % of GDP"
