Series Code,Series Name
DP.DOD.DECD.CR.PS.CD,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$"
DP.DOD.DECN.CR.PS.CD,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$"
DP.DOD.DECX.CR.PS.CD,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$"
DP.DOD.DECF.CR.PS.CD,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$"
DP.DOD.DECT.CR.PS.CD,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$"
DP.DOD.DLCD.CR.PS.CD,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$"
DP.DOD.DLDS.CR.MV.PS.CD,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$"
DP.DOD.DLDS.CR.PS.CD,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$"
DP.DOD.DLIN.CR.PS.CD,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$"
DP.DOD.DLLO.CR.PS.CD,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$"
DP.DOD.DLOA.CR.PS.CD,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$"
DP.DOD.DLSD.CR.PS.CD,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$"
DP.DOD.DLTC.CR.PS.CD,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$"
DP.DOD.DLTC.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$"
DP.DOD.DLCD.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$"
DP.DOD.DLDS.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$"
DP.DOD.DLIN.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$"
DP.DOD.DLLO.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$"
DP.DOD.DLOA.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$"
DP.DOD.DLSD.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$"
DP.DOD.DLTC.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$"
DP.DOD.DLCD.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$"
DP.DOD.DLDS.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$"
DP.DOD.DLIN.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$"
DP.DOD.DLLO.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$"
DP.DOD.DLOA.CR.L1.PS.CD,"Gross PSD, Total, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$"
DP.DOD.DSTC.CR.PS.CD,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$"
DP.DOD.DSCD.CR.PS.CD,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$"
DP.DOD.DSDS.CR.PS.CD,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$"
DP.DOD.DSIN.CR.PS.CD,"Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$"
DP.DOD.DSLO.CR.PS.CD,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$"
DP.DOD.DSOA.CR.PS.CD,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$"
