Index,Country Code,Series Code,Year,Value
1,AFG,SPI.D4.1.2.AGRI,2021,0.5
2,AFG,SPI.D4.1.5.AGSVY,2021,0.33
3,AFG,SPI.D1.5.POV,2021,0.0
4,AFG,SPI.D1.5.CHLD.MORT,2021,1.0
5,AFG,SPI.D5.2.10.GSBP,2021,0.0
6,AFG,SPI.D4.1.3.BIZZ,2021,0.0
7,AFG,SPI.D4.1.8.BZSVY,2021,0.33
8,AFG,SPI.D5.2.7.CGOV,2021,0.5
9,AFG,SPI.D5.2.5.HOUS,2021,1.0
10,AFG,SPI.D5.2.3.CNIN,2021,0.0
11,AFG,SPI.D5.2.6.EMPL,2021,1.0
12,AFG,SPI.D5.2.8.FINA,2021,0.5
13,AFG,SPI.D5.2.9.MONY,2021,1.0
14,AFG,SPI.D5.2.4.CPIBY,2021,0.5
15,AFG,SPI.D4.2.3.CRVS,2021,0.0
16,AFG,SPI.DIM1.5.INDEX,2021,0.8
17,AFG,SPI.DIM2.1.INDEX,2021,0.5
18,AFG,SPI.DIM2.2.INDEX,2021,0.283
19,AFG,SPI.D2.2.Download.options,2021,0.09
20,AFG,SPI.D2.2.Machine.readable,2021,0.098
21,AFG,SPI.D2.2.Metadata.available,2021,0.41
22,AFG,SPI.D2.2.Non.proprietary,2021,0.819
23,AFG,SPI.D2.2.Terms.of.use,2021,0.0
24,AFG,SPI.DIM2.4.INDEX,2021,1.0
25,AFG,SPI.DIM3.1.INDEX,2021,0.789
26,AFG,SPI.DIM3.2.INDEX,2021,0.828166666666667
27,AFG,SPI.DIM3.3.INDEX,2021,0.8335
28,AFG,SPI.DIM3.4.INDEX,2021,0.606
29,AFG,SPI.DIM4.1.CEN.INDEX,2021,0.166666666666667
30,AFG,SPI.DIM4.1.SVY.INDEX,2021,0.598
31,AFG,SPI.DIM4.2.INDEX,2021,0.0
32,AFG,SPI.DIM4.3.INDEX,2021,0.148
33,AFG,SPI.DIM5.2.INDEX,2021,0.55
34,AFG,SPI.D4.3.GEO.first.admin.level,2021,0.148
35,AFG,SPI.D3.1.POV,2021,0.714
36,AFG,SPI.D3.10.NEQL,2021,0.75
37,AFG,SPI.D3.11.CITY,2021,1.0
38,AFG,SPI.D3.12.CNSP,2021,0.8
39,AFG,SPI.D3.13.CLMT,2021,0.667
40,AFG,SPI.D3.15.LAND,2021,1.0
41,AFG,SPI.D3.16.INST,2021,0.4
42,AFG,SPI.D3.17.PTNS,2021,0.812
43,AFG,SPI.D3.2.HNGR,2021,0.9
44,AFG,SPI.D3.3.HLTH,2021,0.72
45,AFG,SPI.D3.4.EDUC,2021,0.6
46,AFG,SPI.D3.5.GEND,2021,0.8
47,AFG,SPI.D3.6.WTRS,2021,1.0
48,AFG,SPI.D3.7.ENRG,2021,0.944
49,AFG,SPI.D3.8.WORK,2021,0.875
50,AFG,SPI.D3.9.INDY,2021,0.6
51,AFG,SPI.D4.1.7.HLTH,2021,0.33
52,AFG,SPI.D4.1.4.HOUS,2021,1.0
53,AFG,SPI.D1.5.LFP,2021,1.0
54,AFG,SPI.D4.1.6.LABR,2021,1.0
55,AFG,SPI.D2.4.NADA,2021,1.0
56,AFG,SPI.D5.2.2.NABY,2021,0.5
57,AFG,SPI.D2.2.Openness.subscore,2021,0.283
58,AFG,SPI.INDEX.PIL1,2021,80.0
59,AFG,SPI.INDEX.PIL2,2021,59.4333333333333
60,AFG,SPI.INDEX.PIL3,2021,78.6375
61,AFG,SPI.INDEX.PIL4,2021,22.8166666666667
62,AFG,SPI.INDEX.PIL5,2021,55.0
63,AFG,SPI.D4.1.1.POPU,2021,0.0
64,AFG,SPI.D1.5.DT.TDS.DPPF.XP.ZS,2021,1.0
65,AFG,SPI.D1.5.SAFE.MAN.WATER,2021,1.0
66,AFG,SPI.D2.1.GDDS,2021,0.5
67,AFG,SPI.INDEX,2021,59.1775
68,AFG,SPI.D5.2.1.SNAU,2021,0.5
69,ALB,SPI.D4.1.2.AGRI,2021,1.0
70,ALB,SPI.D4.1.5.AGSVY,2021,0.0
71,ALB,SPI.D1.5.POV,2021,1.0
72,ALB,SPI.D1.5.CHLD.MORT,2021,1.0
73,ALB,SPI.D5.2.10.GSBP,2021,1.0
74,ALB,SPI.D4.1.3.BIZZ,2021,1.0
75,ALB,SPI.D4.1.8.BZSVY,2021,1.0
76,ALB,SPI.D5.2.7.CGOV,2021,1.0
77,ALB,SPI.D5.2.5.HOUS,2021,1.0
78,ALB,SPI.D5.2.3.CNIN,2021,1.0
79,ALB,SPI.D5.2.6.EMPL,2021,1.0
80,ALB,SPI.D5.2.8.FINA,2021,1.0
81,ALB,SPI.D5.2.9.MONY,2021,1.0
82,ALB,SPI.D5.2.4.CPIBY,2021,1.0
83,ALB,SPI.D4.2.3.CRVS,2021,1.0
84,ALB,SPI.DIM1.5.INDEX,2021,1.0
85,ALB,SPI.DIM2.1.INDEX,2021,0.5
86,ALB,SPI.DIM2.2.INDEX,2021,0.559
87,ALB,SPI.D2.2.Download.options,2021,0.707
88,ALB,SPI.D2.2.Machine.readable,2021,0.748
89,ALB,SPI.D2.2.Metadata.available,2021,0.452
90,ALB,SPI.D2.2.Non.proprietary,2021,0.888
91,ALB,SPI.D2.2.Terms.of.use,2021,0.0
92,ALB,SPI.DIM2.4.INDEX,2021,1.0
93,ALB,SPI.DIM3.1.INDEX,2021,0.906166666666667
94,ALB,SPI.DIM3.2.INDEX,2021,0.836166666666667
95,ALB,SPI.DIM3.3.INDEX,2021,0.7835
96,ALB,SPI.DIM3.4.INDEX,2021,0.969
97,ALB,SPI.DIM4.1.CEN.INDEX,2021,1.0
98,ALB,SPI.DIM4.1.SVY.INDEX,2021,0.734
99,ALB,SPI.DIM4.2.INDEX,2021,1.0
