Index,Country Code,Series Code,Year,Value
1,AFG,EG.CFT.ACCS.ZS,2021,34.9
2,ALB,EG.CFT.ACCS.ZS,2021,83.6
3,DZA,EG.CFT.ACCS.ZS,2021,99.7
4,AND,EG.CFT.ACCS.ZS,2021,100.0
5,AGO,EG.CFT.ACCS.ZS,2021,49.8
6,ATG,EG.CFT.ACCS.ZS,2021,100.0
7,ARG,EG.CFT.ACCS.ZS,2021,99.9
8,ARM,EG.CFT.ACCS.ZS,2021,98.0
9,AUS,EG.CFT.ACCS.ZS,2021,100.0
10,AUT,EG.CFT.ACCS.ZS,2021,100.0
11,AZE,EG.CFT.ACCS.ZS,2021,98.4
12,BHS,EG.CFT.ACCS.ZS,2021,100.0
13,BHR,EG.CFT.ACCS.ZS,2021,100.0
14,BGD,EG.CFT.ACCS.ZS,2021,26.4
15,BRB,EG.CFT.ACCS.ZS,2021,100.0
16,BLR,EG.CFT.ACCS.ZS,2021,99.7
17,BEL,EG.CFT.ACCS.ZS,2021,100.0
18,BLZ,EG.CFT.ACCS.ZS,2021,82.8
19,BEN,EG.CFT.ACCS.ZS,2021,5.8
20,BTN,EG.CFT.ACCS.ZS,2021,86.8
21,BOL,EG.CFT.ACCS.ZS,2021,88.3
22,BIH,EG.CFT.ACCS.ZS,2021,40.9
23,BWA,EG.CFT.ACCS.ZS,2021,65.4
24,BRA,EG.CFT.ACCS.ZS,2021,96.5
25,BRN,EG.CFT.ACCS.ZS,2021,100.0
26,BFA,EG.CFT.ACCS.ZS,2021,15.8
27,BDI,EG.CFT.ACCS.ZS,2021,0.1
28,CPV,EG.CFT.ACCS.ZS,2021,82.0
29,KHM,EG.CFT.ACCS.ZS,2021,47.2
30,CMR,EG.CFT.ACCS.ZS,2021,28.6
31,CAN,EG.CFT.ACCS.ZS,2021,100.0
32,CAF,EG.CFT.ACCS.ZS,2021,1.0
33,TCD,EG.CFT.ACCS.ZS,2021,8.4
34,CHL,EG.CFT.ACCS.ZS,2021,100.0
35,CHN,EG.CFT.ACCS.ZS,2021,85.9
36,COL,EG.CFT.ACCS.ZS,2021,93.1
37,COM,EG.CFT.ACCS.ZS,2021,9.0
38,COD,EG.CFT.ACCS.ZS,2021,4.3
39,COG,EG.CFT.ACCS.ZS,2021,37.7
40,CRI,EG.CFT.ACCS.ZS,2021,96.2
41,CIV,EG.CFT.ACCS.ZS,2021,40.3
42,HRV,EG.CFT.ACCS.ZS,2021,100.0
43,CUB,EG.CFT.ACCS.ZS,2021,95.0
44,CYP,EG.CFT.ACCS.ZS,2021,100.0
45,CZE,EG.CFT.ACCS.ZS,2021,100.0
46,DNK,EG.CFT.ACCS.ZS,2021,100.0
47,DJI,EG.CFT.ACCS.ZS,2021,10.5
48,DMA,EG.CFT.ACCS.ZS,2021,86.9
49,DOM,EG.CFT.ACCS.ZS,2021,92.4
50,ECU,EG.CFT.ACCS.ZS,2021,94.5
51,EGY,EG.CFT.ACCS.ZS,2021,99.9
52,SLV,EG.CFT.ACCS.ZS,2021,92.9
53,GNQ,EG.CFT.ACCS.ZS,2021,22.0
54,ERI,EG.CFT.ACCS.ZS,2021,10.4
55,EST,EG.CFT.ACCS.ZS,2021,100.0
56,SWZ,EG.CFT.ACCS.ZS,2021,48.8
57,ETH,EG.CFT.ACCS.ZS,2021,8.0
58,FJI,EG.CFT.ACCS.ZS,2021,54.0
59,FIN,EG.CFT.ACCS.ZS,2021,100.0
60,FRA,EG.CFT.ACCS.ZS,2021,100.0
61,GAB,EG.CFT.ACCS.ZS,2021,90.4
62,GMB,EG.CFT.ACCS.ZS,2021,1.7
63,GEO,EG.CFT.ACCS.ZS,2021,90.9
64,DEU,EG.CFT.ACCS.ZS,2021,100.0
65,GHA,EG.CFT.ACCS.ZS,2021,29.7
66,GRC,EG.CFT.ACCS.ZS,2021,100.0
67,GRD,EG.CFT.ACCS.ZS,2021,85.6
68,GTM,EG.CFT.ACCS.ZS,2021,45.0
69,GIN,EG.CFT.ACCS.ZS,2021,1.0
70,GNB,EG.CFT.ACCS.ZS,2021,1.0
71,GUY,EG.CFT.ACCS.ZS,2021,100.0
72,HTI,EG.CFT.ACCS.ZS,2021,4.4
73,HND,EG.CFT.ACCS.ZS,2021,49.4
74,HUN,EG.CFT.ACCS.ZS,2021,100.0
75,ISL,EG.CFT.ACCS.ZS,2021,100.0
76,IND,EG.CFT.ACCS.ZS,2021,70.5
77,IDN,EG.CFT.ACCS.ZS,2021,87.2
78,IRN,EG.CFT.ACCS.ZS,2021,96.1
79,IRQ,EG.CFT.ACCS.ZS,2021,99.4
80,IRL,EG.CFT.ACCS.ZS,2021,100.0
81,ISR,EG.CFT.ACCS.ZS,2021,100.0
82,ITA,EG.CFT.ACCS.ZS,2021,100.0
83,JAM,EG.CFT.ACCS.ZS,2021,74.7
84,JPN,EG.CFT.ACCS.ZS,2021,100.0
85,JOR,EG.CFT.ACCS.ZS,2021,99.8
86,KAZ,EG.CFT.ACCS.ZS,2021,93.3
87,KEN,EG.CFT.ACCS.ZS,2021,26.4
88,KIR,EG.CFT.ACCS.ZS,2021,13.3
89,PRK,EG.CFT.ACCS.ZS,2021,13.2
90,KOR,EG.CFT.ACCS.ZS,2021,100.0
91,KWT,EG.CFT.ACCS.ZS,2021,100.0
92,KGZ,EG.CFT.ACCS.ZS,2021,77.3
93,LAO,EG.CFT.ACCS.ZS,2021,9.4
94,LVA,EG.CFT.ACCS.ZS,2021,100.0
95,LSO,EG.CFT.ACCS.ZS,2021,41.1
96,LBR,EG.CFT.ACCS.ZS,2021,0.7
97,LTU,EG.CFT.ACCS.ZS,2021,100.0
98,LUX,EG.CFT.ACCS.ZS,2021,100.0
99,MDG,EG.CFT.ACCS.ZS,2021,1.45
100,MWI,EG.CFT.ACCS.ZS,2021,1.5
101,MYS,EG.CFT.ACCS.ZS,2021,86.0
102,MDV,EG.CFT.ACCS.ZS,2021,99.7
103,MLI,EG.CFT.ACCS.ZS,2021,1.2
104,MLT,EG.CFT.ACCS.ZS,2021,100.0
105,MHL,EG.CFT.ACCS.ZS,2021,64.6
106,MRT,EG.CFT.ACCS.ZS,2021,48.2
107,MUS,EG.CFT.ACCS.ZS,2021,99.0
108,MEX,EG.CFT.ACCS.ZS,2021,85.7
109,FSM,EG.CFT.ACCS.ZS,2021,13.4
110,MDA,EG.CFT.ACCS.ZS,2021,97.4
111,MCO,EG.CFT.ACCS.ZS,2021,100.0
112,MNG,EG.CFT.ACCS.ZS,2021,52.9
113,MNE,EG.CFT.ACCS.ZS,2021,62.3
114,MAR,EG.CFT.ACCS.ZS,2021,98.0
115,MOZ,EG.CFT.ACCS.ZS,2021,5.6
116,MMR,EG.CFT.ACCS.ZS,2021,45.9
117,NAM,EG.CFT.ACCS.ZS,2021,47.2
118,NRU,EG.CFT.ACCS.ZS,2021,100.0
119,NPL,EG.CFT.ACCS.ZS,2021,38.4
120,NLD,EG.CFT.ACCS.ZS,2021,100.0
121,NZL,EG.CFT.ACCS.ZS,2021,100.0
122,NIC,EG.CFT.ACCS.ZS,2021,58.1
123,NER,EG.CFT.ACCS.ZS,2021,4.9
124,NGA,EG.CFT.ACCS.ZS,2021,23.0
125,MKD,EG.CFT.ACCS.ZS,2021,80.2
126,NOR,EG.CFT.ACCS.ZS,2021,100.0
127,OMN,EG.CFT.ACCS.ZS,2021,100.0
128,PAK,EG.CFT.ACCS.ZS,2021,51.0
129,PLW,EG.CFT.ACCS.ZS,2021,31.2
130,PAN,EG.CFT.ACCS.ZS,2021,100.0
131,PNG,EG.CFT.ACCS.ZS,2021,9.8
132,PRY,EG.CFT.ACCS.ZS,2021,68.6
133,PER,EG.CFT.ACCS.ZS,2021,86.4
134,PHL,EG.CFT.ACCS.ZS,2021,56.9
135,POL,EG.CFT.ACCS.ZS,2021,100.0
136,PRT,EG.CFT.ACCS.ZS,2021,100.0
137,QAT,EG.CFT.ACCS.ZS,2021,100.0
138,ROU,EG.CFT.ACCS.ZS,2021,100.0
139,RUS,EG.CFT.ACCS.ZS,2021,99.3
140,RWA,EG.CFT.ACCS.ZS,2021,6.2
141,WSM,EG.CFT.ACCS.ZS,2021,38.4
142,SMR,EG.CFT.ACCS.ZS,2021,100.0
143,STP,EG.CFT.ACCS.ZS,2021,3.7
144,SAU,EG.CFT.ACCS.ZS,2021,100.0
145,SEN,EG.CFT.ACCS.ZS,2021,31.3
146,SRB,EG.CFT.ACCS.ZS,2021,81.5
147,SYC,EG.CFT.ACCS.ZS,2021,100.0
148,SLE,EG.CFT.ACCS.ZS,2021,0.8
149,SGP,EG.CFT.ACCS.ZS,2021,100.0
150,SVK,EG.CFT.ACCS.ZS,2021,100.0
151,SVN,EG.CFT.ACCS.ZS,2021,100.0
152,SLB,EG.CFT.ACCS.ZS,2021,8.8
153,SOM,EG.CFT.ACCS.ZS,2021,4.2
154,ZAF,EG.CFT.ACCS.ZS,2021,88.7
155,SSD,EG.CFT.ACCS.ZS,2021,0.0
156,ESP,EG.CFT.ACCS.ZS,2021,100.0
157,LKA,EG.CFT.ACCS.ZS,2021,34.1
158,KNA,EG.CFT.ACCS.ZS,2021,100.0
159,LCA,EG.CFT.ACCS.ZS,2021,93.1
160,VCT,EG.CFT.ACCS.ZS,2021,90.9
161,SDN,EG.CFT.ACCS.ZS,2021,62.8
162,SUR,EG.CFT.ACCS.ZS,2021,95.1
163,SWE,EG.CFT.ACCS.ZS,2021,100.0
164,CHE,EG.CFT.ACCS.ZS,2021,100.0
165,SYR,EG.CFT.ACCS.ZS,2021,91.5
166,TJK,EG.CFT.ACCS.ZS,2021,85.2
167,TZA,EG.CFT.ACCS.ZS,2021,8.1
168,THA,EG.CFT.ACCS.ZS,2021,85.3
169,TLS,EG.CFT.ACCS.ZS,2021,16.4
170,TGO,EG.CFT.ACCS.ZS,2021,11.0
171,TON,EG.CFT.ACCS.ZS,2021,87.6
172,TTO,EG.CFT.ACCS.ZS,2021,100.0
173,TUN,EG.CFT.ACCS.ZS,2021,99.9
174,TUR,EG.CFT.ACCS.ZS,2021,95.2
175,TKM,EG.CFT.ACCS.ZS,2021,99.9
176,TUV,EG.CFT.ACCS.ZS,2021,74.9
177,UGA,EG.CFT.ACCS.ZS,2021,0.7
178,UKR,EG.CFT.ACCS.ZS,2021,94.95
179,ARE,EG.CFT.ACCS.ZS,2021,100.0
180,GBR,EG.CFT.ACCS.ZS,2021,100.0
181,USA,EG.CFT.ACCS.ZS,2021,100.0
182,URY,EG.CFT.ACCS.ZS,2021,100.0
183,UZB,EG.CFT.ACCS.ZS,2021,79.0
184,VUT,EG.CFT.ACCS.ZS,2021,6.6
185,VEN,EG.CFT.ACCS.ZS,2021,95.1
186,VNM,EG.CFT.ACCS.ZS,2021,97.1
187,YEM,EG.CFT.ACCS.ZS,2021,49.6
188,ZMB,EG.CFT.ACCS.ZS,2021,9.6
189,ZWE,EG.CFT.ACCS.ZS,2021,30.5
190,AFE,EG.CFT.ACCS.ZS,2021,21.372163511874046
191,AFW,EG.CFT.ACCS.ZS,2021,20.778317078568225
192,ARB,EG.CFT.ACCS.ZS,2021,86.34776896265878
193,CSS,EG.CFT.ACCS.ZS,2021,95.32205045685367
194,CEB,EG.CFT.ACCS.ZS,2021,100.0
195,EAR,EG.CFT.ACCS.ZS,2021,68.35657059279389
196,EAS,EG.CFT.ACCS.ZS,2021,83.67578691401262
197,EAP,EG.CFT.ACCS.ZS,2021,82.03376151689972
198,TEA,EG.CFT.ACCS.ZS,2021,82.8923196906279
199,EMU,EG.CFT.ACCS.ZS,2021,100.0
200,ECS,EG.CFT.ACCS.ZS,2021,97.40871504813826
201,ECA,EG.CFT.ACCS.ZS,2021,90.92551628806828
202,TEC,EG.CFT.ACCS.ZS,2021,94.784857184863
203,EUU,EG.CFT.ACCS.ZS,2021,100.0
204,FCS,EG.CFT.ACCS.ZS,2021,30.918838118128885
205,HPC,EG.CFT.ACCS.ZS,2021,15.905129378096225
206,HIC,EG.CFT.ACCS.ZS,2021,99.92367048900675
207,IBD,EG.CFT.ACCS.ZS,2021,83.25515012920208
208,IBT,EG.CFT.ACCS.ZS,2021,68.07755054211508
209,IDB,EG.CFT.ACCS.ZS,2021,38.10611268420998
210,IDX,EG.CFT.ACCS.ZS,2021,22.118168684419746
211,IDA,EG.CFT.ACCS.ZS,2021,27.456291264699864
212,LTE,EG.CFT.ACCS.ZS,2021,88.04802032319218
213,LCN,EG.CFT.ACCS.ZS,2021,89.00312693204145
214,LAC,EG.CFT.ACCS.ZS,2021,88.14400240204087
215,TLA,EG.CFT.ACCS.ZS,2021,88.89102520497305
216,LDC,EG.CFT.ACCS.ZS,2021,19.155576503126646
217,LMY,EG.CFT.ACCS.ZS,2021,66.6450492869233
218,LIC,EG.CFT.ACCS.ZS,2021,16.074433666874334
219,LMC,EG.CFT.ACCS.ZS,2021,58.27631722421034
220,MEA,EG.CFT.ACCS.ZS,2021,94.41080751429496
221,MNA,EG.CFT.ACCS.ZS,2021,93.54443696076348
222,TMN,EG.CFT.ACCS.ZS,2021,93.54443696076348
223,MIC,EG.CFT.ACCS.ZS,2021,72.74539468791585
224,NAC,EG.CFT.ACCS.ZS,2021,100.0
225,OED,EG.CFT.ACCS.ZS,2021,98.10339677237496
226,OSS,EG.CFT.ACCS.ZS,2021,70.43398049028268
227,PSS,EG.CFT.ACCS.ZS,2021,32.011780378009
228,PST,EG.CFT.ACCS.ZS,2021,99.5699947803616
229,PRE,EG.CFT.ACCS.ZS,2021,21.697095511784955
230,SST,EG.CFT.ACCS.ZS,2021,69.24905818110112
231,SAS,EG.CFT.ACCS.ZS,2021,62.55307862822311
232,TSA,EG.CFT.ACCS.ZS,2021,62.55307862822312
233,SSF,EG.CFT.ACCS.ZS,2021,21.13149663865937
234,SSA,EG.CFT.ACCS.ZS,2021,21.124967113930744
235,TSS,EG.CFT.ACCS.ZS,2021,21.131496638659367
236,UMC,EG.CFT.ACCS.ZS,2021,88.24473070481628
237,WLD,EG.CFT.ACCS.ZS,2021,72.4368986952722
238,AFG,EG.CFT.ACCS.RU.ZS,2021,17.4
239,ALB,EG.CFT.ACCS.RU.ZS,2021,67.2
240,DZA,EG.CFT.ACCS.RU.ZS,2021,98.9
241,AND,EG.CFT.ACCS.RU.ZS,2021,100.0
242,AGO,EG.CFT.ACCS.RU.ZS,2021,8.3
243,ATG,EG.CFT.ACCS.RU.ZS,2021,100.0
244,ARG,EG.CFT.ACCS.RU.ZS,2021,97.4
245,ARM,EG.CFT.ACCS.RU.ZS,2021,95.3
246,AUS,EG.CFT.ACCS.RU.ZS,2021,100.0
247,AUT,EG.CFT.ACCS.RU.ZS,2021,100.0
248,AZE,EG.CFT.ACCS.RU.ZS,2021,97.8
249,BHS,EG.CFT.ACCS.RU.ZS,2021,100.0
250,BHR,EG.CFT.ACCS.RU.ZS,2021,100.0
251,BGD,EG.CFT.ACCS.RU.ZS,2021,9.8
252,BRB,EG.CFT.ACCS.RU.ZS,2021,100.0
253,BLR,EG.CFT.ACCS.RU.ZS,2021,99.2
254,BEL,EG.CFT.ACCS.RU.ZS,2021,100.0
255,BLZ,EG.CFT.ACCS.RU.ZS,2021,74.2
256,BEN,EG.CFT.ACCS.RU.ZS,2021,4.5
257,BTN,EG.CFT.ACCS.RU.ZS,2021,80.1
258,BOL,EG.CFT.ACCS.RU.ZS,2021,64.75
259,BIH,EG.CFT.ACCS.RU.ZS,2021,12.4
260,BWA,EG.CFT.ACCS.RU.ZS,2021,26.1
261,BRA,EG.CFT.ACCS.RU.ZS,2021,82.5
262,BRN,EG.CFT.ACCS.RU.ZS,2021,100.0
263,BFA,EG.CFT.ACCS.RU.ZS,2021,2.7
264,BDI,EG.CFT.ACCS.RU.ZS,2021,0.1
265,CPV,EG.CFT.ACCS.RU.ZS,2021,53.4
266,KHM,EG.CFT.ACCS.RU.ZS,2021,36.6
267,CMR,EG.CFT.ACCS.RU.ZS,2021,4.9
268,CAN,EG.CFT.ACCS.RU.ZS,2021,100.0
269,CAF,EG.CFT.ACCS.RU.ZS,2021,0.0
270,TCD,EG.CFT.ACCS.RU.ZS,2021,0.1
271,CHL,EG.CFT.ACCS.RU.ZS,2021,100.0
272,CHN,EG.CFT.ACCS.RU.ZS,2021,72.4
273,COL,EG.CFT.ACCS.RU.ZS,2021,66.6
274,COM,EG.CFT.ACCS.RU.ZS,2021,4.9
275,COD,EG.CFT.ACCS.RU.ZS,2021,0.7
276,COG,EG.CFT.ACCS.RU.ZS,2021,4.5
277,CRI,EG.CFT.ACCS.RU.ZS,2021,89.15
278,CIV,EG.CFT.ACCS.RU.ZS,2021,6.5
279,HRV,EG.CFT.ACCS.RU.ZS,2021,100.0
280,CUB,EG.CFT.ACCS.RU.ZS,2021,89.9
281,CYP,EG.CFT.ACCS.RU.ZS,2021,100.0
282,CZE,EG.CFT.ACCS.RU.ZS,2021,100.0
283,DNK,EG.CFT.ACCS.RU.ZS,2021,100.0
284,DJI,EG.CFT.ACCS.RU.ZS,2021,0.2
285,DMA,EG.CFT.ACCS.RU.ZS,2021,78.1
286,DOM,EG.CFT.ACCS.RU.ZS,2021,78.8
287,ECU,EG.CFT.ACCS.RU.ZS,2021,85.6
288,EGY,EG.CFT.ACCS.RU.ZS,2021,99.9
289,SLV,EG.CFT.ACCS.RU.ZS,2021,83.7
290,GNQ,EG.CFT.ACCS.RU.ZS,2021,3.0
291,ERI,EG.CFT.ACCS.RU.ZS,2021,1.0
292,EST,EG.CFT.ACCS.RU.ZS,2021,100.0
293,SWZ,EG.CFT.ACCS.RU.ZS,2021,30.2
294,ETH,EG.CFT.ACCS.RU.ZS,2021,0.6
295,FJI,EG.CFT.ACCS.RU.ZS,2021,30.0
296,FIN,EG.CFT.ACCS.RU.ZS,2021,100.0
297,FRA,EG.CFT.ACCS.RU.ZS,2021,100.0
298,GAB,EG.CFT.ACCS.RU.ZS,2021,48.1
299,GMB,EG.CFT.ACCS.RU.ZS,2021,0.2
300,GEO,EG.CFT.ACCS.RU.ZS,2021,82.5
301,DEU,EG.CFT.ACCS.RU.ZS,2021,100.0
302,GHA,EG.CFT.ACCS.RU.ZS,2021,11.7
303,GRC,EG.CFT.ACCS.RU.ZS,2021,100.0
304,GRD,EG.CFT.ACCS.RU.ZS,2021,84.6
305,GTM,EG.CFT.ACCS.RU.ZS,2021,16.3
306,GIN,EG.CFT.ACCS.RU.ZS,2021,0.1
307,GNB,EG.CFT.ACCS.RU.ZS,2021,0.0
308,GUY,EG.CFT.ACCS.RU.ZS,2021,100.0
309,HTI,EG.CFT.ACCS.RU.ZS,2021,1.4
310,HND,EG.CFT.ACCS.RU.ZS,2021,24.2
311,HUN,EG.CFT.ACCS.RU.ZS,2021,100.0
312,ISL,EG.CFT.ACCS.RU.ZS,2021,100.0
313,IND,EG.CFT.ACCS.RU.ZS,2021,57.1
314,IDN,EG.CFT.ACCS.RU.ZS,2021,78.9
315,IRN,EG.CFT.ACCS.RU.ZS,2021,93.9
316,IRQ,EG.CFT.ACCS.RU.ZS,2021,99.2
317,IRL,EG.CFT.ACCS.RU.ZS,2021,100.0
318,ISR,EG.CFT.ACCS.RU.ZS,2021,100.0
319,ITA,EG.CFT.ACCS.RU.ZS,2021,100.0
320,JAM,EG.CFT.ACCS.RU.ZS,2021,83.7
321,JPN,EG.CFT.ACCS.RU.ZS,2021,100.0
322,JOR,EG.CFT.ACCS.RU.ZS,2021,99.4
323,KAZ,EG.CFT.ACCS.RU.ZS,2021,88.8
324,KEN,EG.CFT.ACCS.RU.ZS,2021,8.8
325,KIR,EG.CFT.ACCS.RU.ZS,2021,1.8
326,PRK,EG.CFT.ACCS.RU.ZS,2021,0.8
327,KOR,EG.CFT.ACCS.RU.ZS,2021,100.0
328,KWT,EG.CFT.ACCS.RU.ZS,2021,100.0
329,KGZ,EG.CFT.ACCS.RU.ZS,2021,66.5
330,LAO,EG.CFT.ACCS.RU.ZS,2021,2.8
331,LVA,EG.CFT.ACCS.RU.ZS,2021,100.0
332,LSO,EG.CFT.ACCS.RU.ZS,2021,21.0
333,LBR,EG.CFT.ACCS.RU.ZS,2021,0.0
334,LTU,EG.CFT.ACCS.RU.ZS,2021,100.0
