Index,Country Code,Series Code,Year,Value
1,AFG,FX.OWN.TOTL.ZS,2021,9.65
2,ALB,FX.OWN.TOTL.ZS,2021,44.17
3,DZA,FX.OWN.TOTL.ZS,2021,44.1
4,ARG,FX.OWN.TOTL.ZS,2021,71.63
5,ARM,FX.OWN.TOTL.ZS,2021,55.35
6,AUS,FX.OWN.TOTL.ZS,2021,99.32
7,AUT,FX.OWN.TOTL.ZS,2021,99.95
8,BGD,FX.OWN.TOTL.ZS,2021,52.81
9,BEL,FX.OWN.TOTL.ZS,2021,99.01
10,BEN,FX.OWN.TOTL.ZS,2021,48.61
11,BOL,FX.OWN.TOTL.ZS,2021,68.89
12,BIH,FX.OWN.TOTL.ZS,2021,79.34
13,BRA,FX.OWN.TOTL.ZS,2021,84.04
14,BGR,FX.OWN.TOTL.ZS,2021,83.97
15,BFA,FX.OWN.TOTL.ZS,2021,36.11
16,KHM,FX.OWN.TOTL.ZS,2021,33.39
17,CMR,FX.OWN.TOTL.ZS,2021,51.65
18,CAN,FX.OWN.TOTL.ZS,2021,99.63
19,CHL,FX.OWN.TOTL.ZS,2021,87.06
20,CHN,FX.OWN.TOTL.ZS,2021,88.71
21,COL,FX.OWN.TOTL.ZS,2021,59.72
22,COG,FX.OWN.TOTL.ZS,2021,47.14
23,CRI,FX.OWN.TOTL.ZS,2021,68.49
24,CIV,FX.OWN.TOTL.ZS,2021,50.76
25,HRV,FX.OWN.TOTL.ZS,2021,91.8
26,CYP,FX.OWN.TOTL.ZS,2021,93.13
27,CZE,FX.OWN.TOTL.ZS,2021,94.94
28,DNK,FX.OWN.TOTL.ZS,2021,100.0
29,DOM,FX.OWN.TOTL.ZS,2021,51.3
30,ECU,FX.OWN.TOTL.ZS,2021,64.18
31,EGY,FX.OWN.TOTL.ZS,2021,27.44
32,SLV,FX.OWN.TOTL.ZS,2021,35.85
33,EST,FX.OWN.TOTL.ZS,2021,99.38
34,FIN,FX.OWN.TOTL.ZS,2021,99.53
35,FRA,FX.OWN.TOTL.ZS,2021,99.24
36,GAB,FX.OWN.TOTL.ZS,2021,66.09
37,GEO,FX.OWN.TOTL.ZS,2021,70.5
38,DEU,FX.OWN.TOTL.ZS,2021,99.98
39,GHA,FX.OWN.TOTL.ZS,2021,68.23
40,GRC,FX.OWN.TOTL.ZS,2021,94.88
41,GIN,FX.OWN.TOTL.ZS,2021,30.44
42,HND,FX.OWN.TOTL.ZS,2021,37.85
43,HKG,FX.OWN.TOTL.ZS,2021,97.8
44,HUN,FX.OWN.TOTL.ZS,2021,88.22
45,ISL,FX.OWN.TOTL.ZS,2021,100.0
46,IND,FX.OWN.TOTL.ZS,2021,77.53
47,IDN,FX.OWN.TOTL.ZS,2021,51.76
48,IRN,FX.OWN.TOTL.ZS,2021,89.98
49,IRQ,FX.OWN.TOTL.ZS,2021,18.57
50,IRL,FX.OWN.TOTL.ZS,2021,99.66
51,ISR,FX.OWN.TOTL.ZS,2021,92.93
52,ITA,FX.OWN.TOTL.ZS,2021,97.29
53,JAM,FX.OWN.TOTL.ZS,2021,73.3
54,JPN,FX.OWN.TOTL.ZS,2021,98.49
55,JOR,FX.OWN.TOTL.ZS,2021,47.12
56,KAZ,FX.OWN.TOTL.ZS,2021,81.11
57,KEN,FX.OWN.TOTL.ZS,2021,79.2
58,KOR,FX.OWN.TOTL.ZS,2021,98.67
59,XKX,FX.OWN.TOTL.ZS,2021,58.01
60,KGZ,FX.OWN.TOTL.ZS,2021,45.09
61,LAO,FX.OWN.TOTL.ZS,2021,37.32
62,LVA,FX.OWN.TOTL.ZS,2021,96.62
63,LBN,FX.OWN.TOTL.ZS,2021,20.7
64,LBR,FX.OWN.TOTL.ZS,2021,51.63
65,LTU,FX.OWN.TOTL.ZS,2021,93.53
66,MWI,FX.OWN.TOTL.ZS,2021,42.71
67,MYS,FX.OWN.TOTL.ZS,2021,88.37
68,MLI,FX.OWN.TOTL.ZS,2021,43.5
69,MLT,FX.OWN.TOTL.ZS,2021,96.45
70,MUS,FX.OWN.TOTL.ZS,2021,90.53
71,MDA,FX.OWN.TOTL.ZS,2021,64.25
72,MNG,FX.OWN.TOTL.ZS,2021,98.46
73,MAR,FX.OWN.TOTL.ZS,2021,44.37
74,MOZ,FX.OWN.TOTL.ZS,2021,49.49
75,MMR,FX.OWN.TOTL.ZS,2021,47.79
76,NAM,FX.OWN.TOTL.ZS,2021,71.35
77,NPL,FX.OWN.TOTL.ZS,2021,54.0
78,NLD,FX.OWN.TOTL.ZS,2021,99.73
79,NZL,FX.OWN.TOTL.ZS,2021,98.75
80,NIC,FX.OWN.TOTL.ZS,2021,26.03
81,NGA,FX.OWN.TOTL.ZS,2021,45.32
82,MKD,FX.OWN.TOTL.ZS,2021,85.29
83,NOR,FX.OWN.TOTL.ZS,2021,99.48
84,PAK,FX.OWN.TOTL.ZS,2021,20.98
85,PAN,FX.OWN.TOTL.ZS,2021,44.97
86,PRY,FX.OWN.TOTL.ZS,2021,54.42
87,PER,FX.OWN.TOTL.ZS,2021,57.5
88,PHL,FX.OWN.TOTL.ZS,2021,51.37
89,POL,FX.OWN.TOTL.ZS,2021,95.72
90,PRT,FX.OWN.TOTL.ZS,2021,92.65
91,ROU,FX.OWN.TOTL.ZS,2021,69.12
92,RUS,FX.OWN.TOTL.ZS,2021,89.72
93,SAU,FX.OWN.TOTL.ZS,2021,74.32
94,SEN,FX.OWN.TOTL.ZS,2021,55.96
95,SRB,FX.OWN.TOTL.ZS,2021,89.42
96,SLE,FX.OWN.TOTL.ZS,2021,28.85
97,SGP,FX.OWN.TOTL.ZS,2021,97.55
98,SVK,FX.OWN.TOTL.ZS,2021,95.62
99,SVN,FX.OWN.TOTL.ZS,2021,99.05
100,ZAF,FX.OWN.TOTL.ZS,2021,85.38
101,SSD,FX.OWN.TOTL.ZS,2021,5.83
102,ESP,FX.OWN.TOTL.ZS,2021,98.3
103,LKA,FX.OWN.TOTL.ZS,2021,89.27
104,SWE,FX.OWN.TOTL.ZS,2021,99.69
105,CHE,FX.OWN.TOTL.ZS,2021,99.49
106,TJK,FX.OWN.TOTL.ZS,2021,39.49
107,TZA,FX.OWN.TOTL.ZS,2021,52.43
108,THA,FX.OWN.TOTL.ZS,2021,95.58
109,TGO,FX.OWN.TOTL.ZS,2021,49.61
110,TUN,FX.OWN.TOTL.ZS,2021,36.85
111,TUR,FX.OWN.TOTL.ZS,2021,74.09
112,UGA,FX.OWN.TOTL.ZS,2021,65.91
113,UKR,FX.OWN.TOTL.ZS,2021,83.56
114,ARE,FX.OWN.TOTL.ZS,2021,85.74
115,GBR,FX.OWN.TOTL.ZS,2021,99.76
116,USA,FX.OWN.TOTL.ZS,2021,94.95
117,URY,FX.OWN.TOTL.ZS,2021,74.13
118,UZB,FX.OWN.TOTL.ZS,2021,44.13
119,VEN,FX.OWN.TOTL.ZS,2021,84.39
120,PSE,FX.OWN.TOTL.ZS,2021,33.64
121,ZMB,FX.OWN.TOTL.ZS,2021,48.52
122,ZWE,FX.OWN.TOTL.ZS,2021,59.75
123,ARB,FX.OWN.TOTL.ZS,2021,40.21
124,EAS,FX.OWN.TOTL.ZS,2021,82.85
125,EAP,FX.OWN.TOTL.ZS,2021,80.78
126,EMU,FX.OWN.TOTL.ZS,2021,98.51
127,ECS,FX.OWN.TOTL.ZS,2021,89.57
128,ECA,FX.OWN.TOTL.ZS,2021,77.79
129,HIC,FX.OWN.TOTL.ZS,2021,96.36
130,LCN,FX.OWN.TOTL.ZS,2021,73.55
131,LAC,FX.OWN.TOTL.ZS,2021,72.95
132,LMY,FX.OWN.TOTL.ZS,2021,71.38
133,LIC,FX.OWN.TOTL.ZS,2021,38.99
134,LMC,FX.OWN.TOTL.ZS,2021,62.38
135,MEA,FX.OWN.TOTL.ZS,2021,52.84
136,MNA,FX.OWN.TOTL.ZS,2021,48.09
137,MIC,FX.OWN.TOTL.ZS,2021,72.37
138,NAC,FX.OWN.TOTL.ZS,2021,95.45
139,OED,FX.OWN.TOTL.ZS,2021,97.19
140,SAS,FX.OWN.TOTL.ZS,2021,67.89
141,SSF,FX.OWN.TOTL.ZS,2021,55.07
142,SSA,FX.OWN.TOTL.ZS,2021,55.07
143,UMC,FX.OWN.TOTL.ZS,2021,84.33
