Index,Country Code,Series Code,Year,Value
1,AFG,SP.ADO.TFRT,2021,66.599
2,ALB,SP.ADO.TFRT,2021,13.002
3,DZA,SP.ADO.TFRT,2021,9.343
4,ASM,SP.ADO.TFRT,2021,34.214
5,AND,SP.ADO.TFRT,2021,3.5
6,AGO,SP.ADO.TFRT,2021,143.383
7,ATG,SP.ADO.TFRT,2021,33.751
8,ARG,SP.ADO.TFRT,2021,28.54
9,ARM,SP.ADO.TFRT,2021,13.66
10,ABW,SP.ADO.TFRT,2021,18.615
11,AUS,SP.ADO.TFRT,2021,7.089
12,AUT,SP.ADO.TFRT,2021,4.426
13,AZE,SP.ADO.TFRT,2021,34.844
14,BHS,SP.ADO.TFRT,2021,24.87
15,BHR,SP.ADO.TFRT,2021,8.364
16,BGD,SP.ADO.TFRT,2021,75.962
17,BRB,SP.ADO.TFRT,2021,45.948
18,BLR,SP.ADO.TFRT,2021,10.659
19,BEL,SP.ADO.TFRT,2021,4.609
20,BLZ,SP.ADO.TFRT,2021,51.324
21,BEN,SP.ADO.TFRT,2021,79.804
22,BMU,SP.ADO.TFRT,2021,1.666
23,BTN,SP.ADO.TFRT,2021,9.645
24,BOL,SP.ADO.TFRT,2021,66.639
25,BIH,SP.ADO.TFRT,2021,11.192
26,BWA,SP.ADO.TFRT,2021,55.094
27,BRA,SP.ADO.TFRT,2021,45.67
28,VGB,SP.ADO.TFRT,2021,14.387
29,BRN,SP.ADO.TFRT,2021,8.581
30,BGR,SP.ADO.TFRT,2021,36.408
31,BFA,SP.ADO.TFRT,2021,90.079
32,BDI,SP.ADO.TFRT,2021,54.826
33,CPV,SP.ADO.TFRT,2021,38.922
34,KHM,SP.ADO.TFRT,2021,47.847
35,CMR,SP.ADO.TFRT,2021,109.907
36,CAN,SP.ADO.TFRT,2021,5.262
37,CYM,SP.ADO.TFRT,2021,11.611
38,CAF,SP.ADO.TFRT,2021,163.575
39,TCD,SP.ADO.TFRT,2021,137.946
40,CHI,SP.ADO.TFRT,2021,8.717
41,CHL,SP.ADO.TFRT,2021,7.892
42,CHN,SP.ADO.TFRT,2021,5.996
43,COL,SP.ADO.TFRT,2021,62.023
44,COM,SP.ADO.TFRT,2021,57.386
45,COD,SP.ADO.TFRT,2021,109.234
46,COG,SP.ADO.TFRT,2021,112.715
47,CRI,SP.ADO.TFRT,2021,27.871
48,CIV,SP.ADO.TFRT,2021,94.609
49,HRV,SP.ADO.TFRT,2021,7.542
50,CUB,SP.ADO.TFRT,2021,48.346
51,CUW,SP.ADO.TFRT,2021,13.122
52,CYP,SP.ADO.TFRT,2021,7.077
53,CZE,SP.ADO.TFRT,2021,8.096
54,DNK,SP.ADO.TFRT,2021,1.42
55,DJI,SP.ADO.TFRT,2021,19.58
56,DMA,SP.ADO.TFRT,2021,34.74
57,DOM,SP.ADO.TFRT,2021,56.058
58,ECU,SP.ADO.TFRT,2021,58.609
59,EGY,SP.ADO.TFRT,2021,41.901
60,SLV,SP.ADO.TFRT,2021,56.143
61,GNQ,SP.ADO.TFRT,2021,154.136
62,ERI,SP.ADO.TFRT,2021,66.429
63,EST,SP.ADO.TFRT,2021,6.368
64,SWZ,SP.ADO.TFRT,2021,70.741
65,ETH,SP.ADO.TFRT,2021,72.373
66,FRO,SP.ADO.TFRT,2021,4.793
67,FJI,SP.ADO.TFRT,2021,21.553
68,FIN,SP.ADO.TFRT,2021,3.748
69,FRA,SP.ADO.TFRT,2021,4.94
70,PYF,SP.ADO.TFRT,2021,25.173
71,GAB,SP.ADO.TFRT,2021,94.925
