Index,Country Code,Series Code,Year,Value
1,AFG,IS.AIR.GOOD.MT.K1,2021,12.020124731
2,DZA,IS.AIR.GOOD.MT.K1,2021,12.694836
3,AGO,IS.AIR.GOOD.MT.K1,2021,31.03638
4,ARG,IS.AIR.GOOD.MT.K1,2021,88.267613
5,ARM,IS.AIR.GOOD.MT.K1,2021,1.347896
6,AUS,IS.AIR.GOOD.MT.K1,2021,1244.7647
7,AUT,IS.AIR.GOOD.MT.K1,2021,125.155714
8,AZE,IS.AIR.GOOD.MT.K1,2021,3173.72377
9,BHR,IS.AIR.GOOD.MT.K1,2021,523.2992
10,BGD,IS.AIR.GOOD.MT.K1,2021,83.737427
11,BLR,IS.AIR.GOOD.MT.K1,2021,2.2573
12,BEL,IS.AIR.GOOD.MT.K1,2021,1827.413026121
13,BTN,IS.AIR.GOOD.MT.K1,2021,0.358154
14,BOL,IS.AIR.GOOD.MT.K1,2021,20.27706066
15,BWA,IS.AIR.GOOD.MT.K1,2021,0.063317
16,BRA,IS.AIR.GOOD.MT.K1,2021,1294.48671
17,BRN,IS.AIR.GOOD.MT.K1,2021,23.07942
18,BGR,IS.AIR.GOOD.MT.K1,2021,0.058087
19,BFA,IS.AIR.GOOD.MT.K1,2021,0.115892
20,CPV,IS.AIR.GOOD.MT.K1,2021,0.016159056
21,CMR,IS.AIR.GOOD.MT.K1,2021,0.026099
22,CAN,IS.AIR.GOOD.MT.K1,2021,3240.0
23,CHL,IS.AIR.GOOD.MT.K1,2021,1283.99841
24,CHN,IS.AIR.GOOD.MT.K1,2021,20961.2116
25,COL,IS.AIR.GOOD.MT.K1,2021,1605.222381
26,COD,IS.AIR.GOOD.MT.K1,2021,0.948713924
27,CRI,IS.AIR.GOOD.MT.K1,2021,2.16644
28,CIV,IS.AIR.GOOD.MT.K1,2021,4.028365
29,HRV,IS.AIR.GOOD.MT.K1,2021,0.14853
30,CUB,IS.AIR.GOOD.MT.K1,2021,22.318242
31,CYP,IS.AIR.GOOD.MT.K1,2021,0.105655573
32,CZE,IS.AIR.GOOD.MT.K1,2021,0.47308
33,ECU,IS.AIR.GOOD.MT.K1,2021,4.29491
34,EGY,IS.AIR.GOOD.MT.K1,2021,589.483009
35,SLV,IS.AIR.GOOD.MT.K1,2021,11.25641
36,SWZ,IS.AIR.GOOD.MT.K1,2021,0.037413
37,ETH,IS.AIR.GOOD.MT.K1,2021,3716.82165
38,FJI,IS.AIR.GOOD.MT.K1,2021,6.39867
39,FIN,IS.AIR.GOOD.MT.K1,2021,750.28925
40,FRA,IS.AIR.GOOD.MT.K1,2021,4107.03
41,GEO,IS.AIR.GOOD.MT.K1,2021,0.11335
42,DEU,IS.AIR.GOOD.MT.K1,2021,11533.04853603
