Index,Country Code,Series Code,Year,Value
1,ARG,SI.POV.GINI,2004,48.5
2,ARG,SI.DST.04TH.20,2004,22.1
3,ARG,SI.DST.10TH.10,2004,35.3
4,ARG,SI.DST.05TH.20,2004,52.6
5,ARG,SI.DST.FRST.10,2004,1.2
6,ARG,SI.DST.FRST.20,2004,3.6
7,ARG,SI.DST.02ND.20,2004,8.1
8,ARG,SI.DST.03RD.20,2004,13.6
9,ARG,SI.POV.GAPS,2004,1.3
10,ARG,SI.POV.LMIC.GP,2004,3.5
11,ARG,SI.POV.UMIC.GP,2004,10.0
12,ARG,SI.POV.DDAY,2004,3.9
13,ARG,SI.POV.LMIC,2004,9.8
14,ARG,SI.POV.UMIC,2004,24.9
15,ARG,SI.POV.SOPO,2004,29.6
16,ARG,SI.DST.50MD,2004,24.2
17,ARG,SI.SPR.PGAP,2004,3.4
18,ARM,SI.POV.GINI,2004,37.5
19,ARM,SI.DST.04TH.20,2004,20.2
20,ARM,SI.DST.10TH.10,2004,31.7
21,ARM,SI.DST.05TH.20,2004,45.8
22,ARM,SI.DST.FRST.10,2004,3.1
23,ARM,SI.DST.FRST.20,2004,7.6
24,ARM,SI.DST.02ND.20,2004,11.5
25,ARM,SI.DST.03RD.20,2004,15.0
26,ARM,SI.POV.GAPS,2004,1.2
27,ARM,SI.POV.LMIC.GP,2004,7.1
28,ARM,SI.POV.UMIC.GP,2004,29.2
29,ARM,SI.POV.DDAY,2004,5.3
30,ARM,SI.POV.LMIC,2004,28.9
31,ARM,SI.POV.UMIC,2004,73.5
32,ARM,SI.POV.SOPO,2004,27.2
33,ARM,SI.DST.50MD,2004,8.0
34,ARM,SI.SPR.PGAP,2004,5.8
35,AUS,SI.POV.GINI,2004,33.1
36,AUS,SI.DST.04TH.20,2004,22.9
37,AUS,SI.DST.10TH.10,2004,24.9
38,AUS,SI.DST.05TH.20,2004,40.6
39,AUS,SI.DST.FRST.10,2004,3.1
40,AUS,SI.DST.FRST.20,2004,7.8
41,AUS,SI.DST.02ND.20,2004,12.3
42,AUS,SI.DST.03RD.20,2004,16.5
43,AUS,SI.POV.GAPS,2004,0.4
44,AUS,SI.POV.LMIC.GP,2004,0.5
45,AUS,SI.POV.UMIC.GP,2004,0.7
46,AUS,SI.POV.DDAY,2004,0.7
47,AUS,SI.POV.LMIC,2004,0.7
48,AUS,SI.POV.UMIC,2004,1.2
49,AUS,SI.POV.SOPO,2004,11.5
50,AUS,SI.DST.50MD,2004,9.7
51,AUS,SI.SPR.PGAP,2004,1.1
52,AUT,SI.POV.GINI,2004,29.8
53,AUT,SI.DST.04TH.20,2004,22.5
54,AUT,SI.DST.10TH.10,2004,23.8
55,AUT,SI.DST.05TH.20,2004,38.5
56,AUT,SI.DST.FRST.10,2004,3.4
57,AUT,SI.DST.FRST.20,2004,8.5
58,AUT,SI.DST.02ND.20,2004,13.2
59,AUT,SI.DST.03RD.20,2004,17.2
60,AUT,SI.POV.GAPS,2004,0.1
61,AUT,SI.POV.LMIC.GP,2004,0.1
62,AUT,SI.POV.UMIC.GP,2004,0.1
63,AUT,SI.POV.DDAY,2004,0.1
64,AUT,SI.POV.LMIC,2004,0.1
65,AUT,SI.POV.UMIC,2004,0.4
66,AUT,SI.POV.NAHC,2004,12.6
67,AUT,SI.POV.SOPO,2004,9.8
68,AUT,SI.DST.50MD,2004,8.5
69,AUT,SI.SPR.PGAP,2004,0.7
70,AZE,SI.POV.GINI,2004,26.6
71,AZE,SI.DST.04TH.20,2004,20.8
72,AZE,SI.DST.10TH.10,2004,24.4
73,AZE,SI.DST.05TH.20,2004,37.8
74,AZE,SI.DST.FRST.10,2004,4.8
75,AZE,SI.DST.FRST.20,2004,10.7
76,AZE,SI.DST.02ND.20,2004,14.0
77,AZE,SI.DST.03RD.20,2004,16.7
78,AZE,SI.POV.GAPS,2004,0.0
79,AZE,SI.POV.LMIC.GP,2004,0.1
80,AZE,SI.POV.UMIC.GP,2004,8.5
81,AZE,SI.POV.DDAY,2004,0.0
82,AZE,SI.POV.LMIC,2004,1.0
83,AZE,SI.POV.UMIC,2004,42.3
84,AZE,SI.POV.SOPO,2004,10.6
85,AZE,SI.DST.50MD,2004,1.0
86,AZE,SI.SPR.PGAP,2004,3.5
87,BLR,SI.POV.GINI,2004,26.5
88,BLR,SI.DST.04TH.20,2004,22.9
89,BLR,SI.DST.10TH.10,2004,21.3
90,BLR,SI.DST.05TH.20,2004,35.9
91,BLR,SI.DST.FRST.10,2004,3.8
92,BLR,SI.DST.FRST.20,2004,9.4
93,BLR,SI.DST.02ND.20,2004,14.0
94,BLR,SI.DST.03RD.20,2004,17.9
95,BLR,SI.POV.GAPS,2004,0.2
