CountryShortName,Year,IndicatorName,Value
Albania,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",11553756413.4131
Albania,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",11803444977.1321
Albania,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",14287758098.9944
Albania,2021.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",7202409032.08626
Albania,2022.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",7738228001.53398
Albania,2023.0,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",8659517479.13094
Albania,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",9576197682.39278
Albania,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",9298792392.82082
Albania,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",11157958018.2145
Albania,2021.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",16778606714.479
Albania,2022.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",17037020394.3548
Albania,2023.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",19817475497.3454
Albania,2021.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",5224850301.06589
Albania,2022.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",5233575417.22264
Albania,2023.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",5529717398.35104
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",159186406.58827
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",166402725.642555
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",226035583.818747
Albania,2021.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",5765038972.77658
Albania,2022.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",6037836552.3251
Albania,2023.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",7364389184.54752
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",907088078.719142
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",853507606.838795
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",1032436634.02621
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",4623956805.12741
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",4862339391.28498
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",5808056389.24329
Albania,2021.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",6832033022.37263
Albania,2022.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",6933743304.75714
Albania,2023.0,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",8468354419.02037
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",5571760.28531228
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",25508642.4548308
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",28152993.9732623
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",4011491968.89456
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",3795919210.94588
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",3711766684.31812
Albania,2021.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",4017063729.17987
Albania,2022.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",3821427853.40071
Albania,2023.0,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",3739919678.29138
Albania,2021.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",4873807.35748082
Albania,2022.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",4009354.87479171
Albania,2023.0,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",3356628.48794584
Albania,2021.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",159597182.792481
Albania,2022.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",240003328.997066
Albania,2023.0,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",241455586.998168
Albania,2021.0,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",159597182.792481
