CountryShortName,Year,IndicatorName,Value
Afghanistan,2021.0,"Agriculture census (Availability score over 20 years)",0.5
Afghanistan,2021.0,"Agriculture survey (Availability score over 10 years)",0.33
Afghanistan,2021.0,"Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average)",0.0
Afghanistan,2021.0,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",1.0
Afghanistan,2021.0,"Business process",0.0
Afghanistan,2021.0,"Business/establishment census (Availability score over 20 years)",0.0
Afghanistan,2021.0,"Business/establishment survey (Availability score over 10 years)",0.33
Afghanistan,2021.0,"Central government accounting status",0.5
Afghanistan,2021.0,"Classification of household consumption",1.0
Afghanistan,2021.0,"Classification of national industry",0.0
Afghanistan,2021.0,"Classification of status of employment",1.0
Afghanistan,2021.0,"Compilation of government finance statistics",0.5
Afghanistan,2021.0,"Compilation of monetary and financial statistics",1.0
Afghanistan,2021.0,"CPI base year",0.5
Afghanistan,2021.0,"CRVS (WDI)",0.0
Afghanistan,2021.0,"Dimension 1.5: Data use by international organizations",0.8
Afghanistan,2021.0,"Dimension 2.1: Data Releases",0.5
Afghanistan,2021.0,"Dimension 2.2: Online access",0.283
Afghanistan,2021.0,"Dimension 2.2: Online access - Download Options Score",0.09
Afghanistan,2021.0,"Dimension 2.2: Online access - Machine Readability Score",0.098
Afghanistan,2021.0,"Dimension 2.2: Online access - Metadata Available Score",0.41
Afghanistan,2021.0,"Dimension 2.2: Online access - Non-Proprietary format Score",0.819
Afghanistan,2021.0,"Dimension 2.2: Online access - Terms of Use Score",0.0
Afghanistan,2021.0,"Dimension 2.4: Data services",1.0
Afghanistan,2021.0,"Dimension 3.1: Social Statistics",0.789
Afghanistan,2021.0,"Dimension 3.2: Economic Statistics",0.828166666666667
Afghanistan,2021.0,"Dimension 3.3: Environmental Statistics",0.8335
Afghanistan,2021.0,"Dimension 3.4: Institutional Statistics",0.606
Afghanistan,2021.0,"Dimension 4.1: Censuses and Surveys - Censuses only",0.166666666666667
Afghanistan,2021.0,"Dimension 4.1: Censuses and Surveys - Surveys only",0.598
Afghanistan,2021.0,"Dimension 4.2: Administrative Data",0.0
Afghanistan,2021.0,"Dimension 4.3: Geospatial Data",0.148
Afghanistan,2021.0,"Dimension 5.2: Standards and Methods",0.55
Afghanistan,2021.0,"Geospatial data available at 1st Admin Level",0.148
Afghanistan,2021.0,"GOAL 1: No Poverty (5 year moving average)",0.714
Afghanistan,2021.0,"GOAL 10: Reduced Inequality (5 year moving average)",0.75
Afghanistan,2021.0,"GOAL 11: Sustainable Cities and Communities (5 year moving average)",1.0
Afghanistan,2021.0,"GOAL 12: Responsible Consumption and Production (5 year moving average)",0.8
Afghanistan,2021.0,"GOAL 13: Climate Action (5 year moving average)",0.667
Afghanistan,2021.0,"GOAL 15: Life on Land (5 year moving average)",1.0
Afghanistan,2021.0,"GOAL 16: Peace and Justice Strong Institutions (5 year moving average)",0.4
Afghanistan,2021.0,"GOAL 17: Partnerships to achieve the Goal (5 year moving average)",0.812
Afghanistan,2021.0,"GOAL 2: Zero Hunger (5 year moving average)",0.9
Afghanistan,2021.0,"GOAL 3: Good Health and Well-being (5 year moving average)",0.72
Afghanistan,2021.0,"GOAL 4: Quality Education (5 year moving average)",0.6
Afghanistan,2021.0,"GOAL 5: Gender Equality (5 year moving average)",0.8
Afghanistan,2021.0,"GOAL 6: Clean Water and Sanitation (5 year moving average)",1.0
Afghanistan,2021.0,"GOAL 7: Affordable and Clean Energy (5 year moving average)",0.944
Afghanistan,2021.0,"GOAL 8: Decent Work and Economic Growth (5 year moving average)",0.875
Afghanistan,2021.0,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",0.6
Afghanistan,2021.0,"Health/Demographic survey (Availability score over 10 years)",0.33
Afghanistan,2021.0,"Household Survey on income, etc  (Availability score over 10 years)",1.0
Afghanistan,2021.0,"Labor force participation rate by sex and age (%)",1.0
Afghanistan,2021.0,"Labor Force Survey (Availability score over 10 years)",1.0
Afghanistan,2021.0,"NADA metadata",1.0
Afghanistan,2021.0,"National Accounts base year",0.5
Afghanistan,2021.0,"ODIN Open Data Openness score",0.283
Afghanistan,2021.0,"Pillar 1  - Data Use - Score",80.0
Afghanistan,2021.0,"Pillar 2 - Data Services - Score",59.4333333333333
Afghanistan,2021.0,"Pillar 3 - Data Products - Score",78.6375
Afghanistan,2021.0,"Pillar 4 - Data Sources - Score",22.8166666666667
Afghanistan,2021.0,"Pillar 5 - Data Infrastructure - Score",55.0
Afghanistan,2021.0,"Population & Housing census (Availability score over 20 years)",0.0
Afghanistan,2021.0,"Quality of Debt service data according to World Bank",1.0
Afghanistan,2021.0,"Safely Managed Drinking Water",1.0
Afghanistan,2021.0,"SDDS/e-GDDS subscription",0.5
Afghanistan,2021.0,"SPI Overall Score",59.1775
Afghanistan,2021.0,"System of national accounts in use",0.5
Albania,2021.0,"Agriculture census (Availability score over 20 years)",1.0
Albania,2021.0,"Agriculture survey (Availability score over 10 years)",0.0
Albania,2021.0,"Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average)",1.0
Albania,2021.0,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",1.0
Albania,2021.0,"Business process",1.0
Albania,2021.0,"Business/establishment census (Availability score over 20 years)",1.0
Albania,2021.0,"Business/establishment survey (Availability score over 10 years)",1.0
Albania,2021.0,"Central government accounting status",1.0
Albania,2021.0,"Classification of household consumption",1.0
Albania,2021.0,"Classification of national industry",1.0
Albania,2021.0,"Classification of status of employment",1.0
Albania,2021.0,"Compilation of government finance statistics",1.0
Albania,2021.0,"Compilation of monetary and financial statistics",1.0
Albania,2021.0,"CPI base year",1.0
Albania,2021.0,"CRVS (WDI)",1.0
Albania,2021.0,"Dimension 1.5: Data use by international organizations",1.0
Albania,2021.0,"Dimension 2.1: Data Releases",0.5
Albania,2021.0,"Dimension 2.2: Online access",0.559
Albania,2021.0,"Dimension 2.2: Online access - Download Options Score",0.707
Albania,2021.0,"Dimension 2.2: Online access - Machine Readability Score",0.748
Albania,2021.0,"Dimension 2.2: Online access - Metadata Available Score",0.452
Albania,2021.0,"Dimension 2.2: Online access - Non-Proprietary format Score",0.888
Albania,2021.0,"Dimension 2.2: Online access - Terms of Use Score",0.0
Albania,2021.0,"Dimension 2.4: Data services",1.0
Albania,2021.0,"Dimension 3.1: Social Statistics",0.906166666666667
Albania,2021.0,"Dimension 3.2: Economic Statistics",0.836166666666667
Albania,2021.0,"Dimension 3.3: Environmental Statistics",0.7835
Albania,2021.0,"Dimension 3.4: Institutional Statistics",0.969
Albania,2021.0,"Dimension 4.1: Censuses and Surveys - Censuses only",1.0
Albania,2021.0,"Dimension 4.1: Censuses and Surveys - Surveys only",0.734
Albania,2021.0,"Dimension 4.2: Administrative Data",1.0
Albania,2021.0,"Dimension 4.3: Geospatial Data",0.187
Albania,2021.0,"Dimension 5.1: Legislation and governance",1.0
Albania,2021.0,"Dimension 5.2: Standards and Methods",1.0
Albania,2021.0,"Dimension 5.5: Finance",0.0
Albania,2021.0,"Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1",0.0
Albania,2021.0,"Geospatial data available at 1st Admin Level",0.187
Albania,2021.0,"GOAL 1: No Poverty (5 year moving average)",0.857
Albania,2021.0,"GOAL 10: Reduced Inequality (5 year moving average)",0.875
Albania,2021.0,"GOAL 11: Sustainable Cities and Communities (5 year moving average)",1.0
Albania,2021.0,"GOAL 12: Responsible Consumption and Production (5 year moving average)",0.8
Albania,2021.0,"GOAL 13: Climate Action (5 year moving average)",0.667
Albania,2021.0,"GOAL 15: Life on Land (5 year moving average)",0.9
Albania,2021.0,"GOAL 16: Peace and Justice Strong Institutions (5 year moving average)",1.0
Albania,2021.0,"GOAL 17: Partnerships to achieve the Goal (5 year moving average)",0.938
Albania,2021.0,"GOAL 2: Zero Hunger (5 year moving average)",0.9
Albania,2021.0,"GOAL 3: Good Health and Well-being (5 year moving average)",0.88
Albania,2021.0,"GOAL 4: Quality Education (5 year moving average)",1.0
Albania,2021.0,"GOAL 5: Gender Equality (5 year moving average)",0.8
Albania,2021.0,"GOAL 6: Clean Water and Sanitation (5 year moving average)",1.0
Albania,2021.0,"GOAL 7: Affordable and Clean Energy (5 year moving average)",0.667
Albania,2021.0,"GOAL 8: Decent Work and Economic Growth (5 year moving average)",0.875
Albania,2021.0,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",0.8
Albania,2021.0,"Health/Demographic survey (Availability score over 10 years)",0.67
Albania,2021.0,"Household Survey on income, etc  (Availability score over 10 years)",1.0
Albania,2021.0,"Labor force participation rate by sex and age (%)",1.0
Albania,2021.0,"Labor Force Survey (Availability score over 10 years)",1.0
Albania,2021.0,"Legislation Indicator based on PARIS21 indicators on SDG 17.18.2",1.0
Albania,2021.0,"NADA metadata",1.0
Albania,2021.0,"National Accounts base year",1.0
Albania,2021.0,"ODIN Open Data Openness score",0.559
Albania,2021.0,"Pillar 1  - Data Use - Score",100.0
Albania,2021.0,"Pillar 2 - Data Services - Score",68.6333333333333
Albania,2021.0,"Pillar 3 - Data Products - Score",87.24375
Albania,2021.0,"Pillar 4 - Data Sources - Score",73.025
Albania,2021.0,"Pillar 5 - Data Infrastructure - Score",100.0
Albania,2021.0,"Population & Housing census (Availability score over 20 years)",1.0
Albania,2021.0,"Quality of Debt service data according to World Bank",1.0
Albania,2021.0,"Safely Managed Drinking Water",1.0
Albania,2021.0,"SDDS/e-GDDS subscription",0.5
Albania,2021.0,"SPI Overall Score",85.7804166666667
Albania,2021.0,"System of national accounts in use",1.0
Algeria,2021.0,"Agriculture census (Availability score over 20 years)",0.5
Algeria,2021.0,"Agriculture survey (Availability score over 10 years)",0.67
Algeria,2021.0,"Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average)",0.0
Algeria,2021.0,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",1.0
Algeria,2021.0,"Business process",0.0
Algeria,2021.0,"Business/establishment census (Availability score over 20 years)",1.0
Algeria,2021.0,"Business/establishment survey (Availability score over 10 years)",0.0
Algeria,2021.0,"Central government accounting status",0.0
Algeria,2021.0,"Classification of household consumption",1.0
Algeria,2021.0,"Classification of national industry",0.5
Algeria,2021.0,"Classification of status of employment",1.0
Algeria,2021.0,"Compilation of government finance statistics",0.0
Algeria,2021.0,"Compilation of monetary and financial statistics",1.0
Algeria,2021.0,"CPI base year",0.0
Algeria,2021.0,"CRVS (WDI)",1.0
Algeria,2021.0,"Dimension 1.5: Data use by international organizations",0.8
Algeria,2021.0,"Dimension 2.1: Data Releases",0.5
Algeria,2021.0,"Dimension 2.2: Online access",0.263
Algeria,2021.0,"Dimension 2.2: Online access - Download Options Score",0.148
Algeria,2021.0,"Dimension 2.2: Online access - Machine Readability Score",0.04
Algeria,2021.0,"Dimension 2.2: Online access - Metadata Available Score",0.383
Algeria,2021.0,"Dimension 2.2: Online access - Non-Proprietary format Score",0.743
Algeria,2021.0,"Dimension 2.2: Online access - Terms of Use Score",0.0
Algeria,2021.0,"Dimension 2.4: Data services",1.0
Algeria,2021.0,"Dimension 3.1: Social Statistics",0.724833333333333
Algeria,2021.0,"Dimension 3.2: Economic Statistics",0.932333333333333
Algeria,2021.0,"Dimension 3.3: Environmental Statistics",0.7835
Algeria,2021.0,"Dimension 3.4: Institutional Statistics",0.806
Algeria,2021.0,"Dimension 4.1: Censuses and Surveys - Censuses only",0.666666666666667
Algeria,2021.0,"Dimension 4.1: Censuses and Surveys - Surveys only",0.4
Algeria,2021.0,"Dimension 4.2: Administrative Data",1.0
Algeria,2021.0,"Dimension 4.3: Geospatial Data",0.063
Algeria,2021.0,"Dimension 5.1: Legislation and governance",1.0
Algeria,2021.0,"Dimension 5.2: Standards and Methods",0.5
Algeria,2021.0,"Dimension 5.5: Finance",1.0
Algeria,2021.0,"Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1",1.0
Algeria,2021.0,"Geospatial data available at 1st Admin Level",0.063
Algeria,2021.0,"GOAL 1: No Poverty (5 year moving average)",0.714
Algeria,2021.0,"GOAL 10: Reduced Inequality (5 year moving average)",0.875
Algeria,2021.0,"GOAL 11: Sustainable Cities and Communities (5 year moving average)",1.0
Algeria,2021.0,"GOAL 12: Responsible Consumption and Production (5 year moving average)",1.0
Algeria,2021.0,"GOAL 13: Climate Action (5 year moving average)",0.667
Algeria,2021.0,"GOAL 15: Life on Land (5 year moving average)",0.9
Algeria,2021.0,"GOAL 16: Peace and Justice Strong Institutions (5 year moving average)",0.8
Algeria,2021.0,"GOAL 17: Partnerships to achieve the Goal (5 year moving average)",0.812
Algeria,2021.0,"GOAL 2: Zero Hunger (5 year moving average)",0.8
