CountryShortName,Year,IndicatorName,Value
Afghanistan,2021.0,"Proportion of seats held by women in national parliaments (%)",27.0161290322581
Albania,2021.0,"Proportion of seats held by women in national parliaments (%)",35.7142857142857
Algeria,2021.0,"Proportion of seats held by women in national parliaments (%)",8.10810810810811
Andorra,2021.0,"Proportion of seats held by women in national parliaments (%)",46.4285714285714
Angola,2021.0,"Proportion of seats held by women in national parliaments (%)",29.5454545454545
"Antigua and Barbuda",2021.0,"Proportion of seats held by women in national parliaments (%)",11.1111111111111
Argentina,2021.0,"Proportion of seats held by women in national parliaments (%)",44.7470817120623
Armenia,2021.0,"Proportion of seats held by women in national parliaments (%)",33.6448598130841
Australia,2021.0,"Proportion of seats held by women in national parliaments (%)",31.1258278145695
Austria,2021.0,"Proportion of seats held by women in national parliaments (%)",40.4371584699454
Azerbaijan,2021.0,"Proportion of seats held by women in national parliaments (%)",18.1818181818182
"The Bahamas",2021.0,"Proportion of seats held by women in national parliaments (%)",17.9487179487179
Bahrain,2021.0,"Proportion of seats held by women in national parliaments (%)",15.0
Bangladesh,2021.0,"Proportion of seats held by women in national parliaments (%)",20.8571428571429
Barbados,2021.0,"Proportion of seats held by women in national parliaments (%)",20.0
Belarus,2021.0,"Proportion of seats held by women in national parliaments (%)",40.0
Belgium,2021.0,"Proportion of seats held by women in national parliaments (%)",42.0
Belize,2021.0,"Proportion of seats held by women in national parliaments (%)",12.5
Benin,2021.0,"Proportion of seats held by women in national parliaments (%)",8.43373493975904
Bhutan,2021.0,"Proportion of seats held by women in national parliaments (%)",17.0212765957447
Bolivia,2021.0,"Proportion of seats held by women in national parliaments (%)",46.1538461538462
"Bosnia and Herzegovina",2021.0,"Proportion of seats held by women in national parliaments (%)",26.1904761904762
Botswana,2021.0,"Proportion of seats held by women in national parliaments (%)",10.7692307692308
Brazil,2021.0,"Proportion of seats held by women in national parliaments (%)",15.2046783625731
Brunei,2021.0,"Proportion of seats held by women in national parliaments (%)",9.09090909090909
Bulgaria,2021.0,"Proportion of seats held by women in national parliaments (%)",23.75
"Burkina Faso",2021.0,"Proportion of seats held by women in national parliaments (%)",6.2992125984252
Burundi,2021.0,"Proportion of seats held by women in national parliaments (%)",38.2113821138211
"Cabo Verde",2021.0,"Proportion of seats held by women in national parliaments (%)",38.8888888888889
Cambodia,2021.0,"Proportion of seats held by women in national parliaments (%)",21.6
Cameroon,2021.0,"Proportion of seats held by women in national parliaments (%)",33.8888888888889
Canada,2021.0,"Proportion of seats held by women in national parliaments (%)",30.4733727810651
"Central African Republic",2021.0,"Proportion of seats held by women in national parliaments (%)",12.8571428571429
Chad,2021.0,"Proportion of seats held by women in national parliaments (%)",32.258064516129
Chile,2021.0,"Proportion of seats held by women in national parliaments (%)",35.4838709677419
China,2021.0,"Proportion of seats held by women in national parliaments (%)",24.9411764705882
Colombia,2021.0,"Proportion of seats held by women in national parliaments (%)",18.8235294117647
Comoros,2021.0,"Proportion of seats held by women in national parliaments (%)",16.6666666666667
"Dem. Rep. Congo",2021.0,"Proportion of seats held by women in national parliaments (%)",12.8
Congo,2021.0,"Proportion of seats held by women in national parliaments (%)",11.2582781456954
"Costa Rica",2021.0,"Proportion of seats held by women in national parliaments (%)",45.6140350877193
"Côte d'Ivoire",2021.0,"Proportion of seats held by women in national parliaments (%)",14.1732283464567
Croatia,2021.0,"Proportion of seats held by women in national parliaments (%)",31.1258278145695
Cuba,2021.0,"Proportion of seats held by women in national parliaments (%)",53.4129692832764
Cyprus,2021.0,"Proportion of seats held by women in national parliaments (%)",14.2857142857143
Czechia,2021.0,"Proportion of seats held by women in national parliaments (%)",25.0
Denmark,2021.0,"Proportion of seats held by women in national parliaments (%)",39.6648044692737
Djibouti,2021.0,"Proportion of seats held by women in national parliaments (%)",26.1538461538462
Dominica,2021.0,"Proportion of seats held by women in national parliaments (%)",34.375
"Dominican Republic",2021.0,"Proportion of seats held by women in national parliaments (%)",27.8947368421053
Ecuador,2021.0,"Proportion of seats held by women in national parliaments (%)",39.4160583941606
Egypt,2021.0,"Proportion of seats held by women in national parliaments (%)",27.7027027027027
"El Salvador",2021.0,"Proportion of seats held by women in national parliaments (%)",27.3809523809524
"Equatorial Guinea",2021.0,"Proportion of seats held by women in national parliaments (%)",23.0
Estonia,2021.0,"Proportion of seats held by women in national parliaments (%)",25.7425742574257
Eswatini,2021.0,"Proportion of seats held by women in national parliaments (%)",9.58904109589041
Ethiopia,2021.0,"Proportion of seats held by women in national parliaments (%)",42.5882352941177
Fiji,2021.0,"Proportion of seats held by women in national parliaments (%)",21.5686274509804
Finland,2021.0,"Proportion of seats held by women in national parliaments (%)",46.0
France,2021.0,"Proportion of seats held by women in national parliaments (%)",39.5147313691508
