CountryShortName,Year,IndicatorName,Value
Afghanistan,2021.0,"Air transport, freight (million ton-km)",12.020124731
Algeria,2021.0,"Air transport, freight (million ton-km)",12.694836
Angola,2021.0,"Air transport, freight (million ton-km)",31.03638
Argentina,2021.0,"Air transport, freight (million ton-km)",88.267613
Armenia,2021.0,"Air transport, freight (million ton-km)",1.347896
Australia,2021.0,"Air transport, freight (million ton-km)",1244.7647
Austria,2021.0,"Air transport, freight (million ton-km)",125.155714
Azerbaijan,2021.0,"Air transport, freight (million ton-km)",3173.72377
Bahrain,2021.0,"Air transport, freight (million ton-km)",523.2992
Bangladesh,2021.0,"Air transport, freight (million ton-km)",83.737427
Belarus,2021.0,"Air transport, freight (million ton-km)",2.2573
Belgium,2021.0,"Air transport, freight (million ton-km)",1827.413026121
Bhutan,2021.0,"Air transport, freight (million ton-km)",0.358154
Bolivia,2021.0,"Air transport, freight (million ton-km)",20.27706066
Botswana,2021.0,"Air transport, freight (million ton-km)",0.063317
Brazil,2021.0,"Air transport, freight (million ton-km)",1294.48671
Brunei,2021.0,"Air transport, freight (million ton-km)",23.07942
Bulgaria,2021.0,"Air transport, freight (million ton-km)",0.058087
"Burkina Faso",2021.0,"Air transport, freight (million ton-km)",0.115892
"Cabo Verde",2021.0,"Air transport, freight (million ton-km)",0.016159056
Cameroon,2021.0,"Air transport, freight (million ton-km)",0.026099
Canada,2021.0,"Air transport, freight (million ton-km)",3240.0
Chile,2021.0,"Air transport, freight (million ton-km)",1283.99841
China,2021.0,"Air transport, freight (million ton-km)",20961.2116
Colombia,2021.0,"Air transport, freight (million ton-km)",1605.222381
"Dem. Rep. Congo",2021.0,"Air transport, freight (million ton-km)",0.948713924
"Costa Rica",2021.0,"Air transport, freight (million ton-km)",2.16644
"Côte d'Ivoire",2021.0,"Air transport, freight (million ton-km)",4.028365
Croatia,2021.0,"Air transport, freight (million ton-km)",0.14853
Cuba,2021.0,"Air transport, freight (million ton-km)",22.318242
Cyprus,2021.0,"Air transport, freight (million ton-km)",0.105655573
Czechia,2021.0,"Air transport, freight (million ton-km)",0.47308
Ecuador,2021.0,"Air transport, freight (million ton-km)",4.29491
Egypt,2021.0,"Air transport, freight (million ton-km)",589.483009
"El Salvador",2021.0,"Air transport, freight (million ton-km)",11.25641
Eswatini,2021.0,"Air transport, freight (million ton-km)",0.037413
Ethiopia,2021.0,"Air transport, freight (million ton-km)",3716.82165
Fiji,2021.0,"Air transport, freight (million ton-km)",6.39867
Finland,2021.0,"Air transport, freight (million ton-km)",750.28925
France,2021.0,"Air transport, freight (million ton-km)",4107.03
Georgia,2021.0,"Air transport, freight (million ton-km)",0.11335
Germany,2021.0,"Air transport, freight (million ton-km)",11533.04853603
Greece,2021.0,"Air transport, freight (million ton-km)",12.4593
Guatemala,2021.0,"Air transport, freight (million ton-km)",0.00012
Guyana,2021.0,"Air transport, freight (million ton-km)",0.022018
Honduras,2021.0,"Air transport, freight (million ton-km)",1.021922
"Hong Kong SAR, China",2021.0,"Air transport, freight (million ton-km)",9027.879964
