CountryShortName,Year,IndicatorName,Value
Austria,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.41
Belgium,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.83
Benin,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",4.84
Bolivia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",4.42
Bulgaria,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",6.63
"Burkina Faso",2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.17
Colombia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-2.59
"Côte d'Ivoire",2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.21
Croatia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",7.12
Cyprus,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.84
Czechia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.53
Denmark,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.7
Estonia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",6.69
Finland,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.24
France,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-0.62
Greece,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",5.1
Guinea-Bissau,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-1.77
Hungary,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",7.16
Ireland,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",5.01
Israel,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.84
Italy,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.38
Jamaica,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-3.3
Kazakhstan,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.72
Kenya,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-1.18
Korea,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",5.11
Latvia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",6.85
Lithuania,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",9.65
Luxembourg,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.33
Malaysia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.22
Mali,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",-3.33
Moldova,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.3
Montenegro,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.67
Netherlands,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.86
Niger,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.59
Philippines,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",2.98
Poland,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",6.92
Portugal,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",3.84
Romania,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",14.51
Senegal,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0.41
Serbia,2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",12.87
"Slovak Republic",2021.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1.68
