CountryShortName,Year,IndicatorName,Value
Albania,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.46806411411987
Andorra,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.22061187655008
Angola,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.00220434964099299
"Antigua and Barbuda",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.00593617251764625
Argentina,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.746858769589611
Armenia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.305388973376687
Aruba,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.102735793836957
Australia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.67335400394325
Austria,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.81188719571941
Azerbaijan,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.00437467693207
"The Bahamas",2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.32093981083024
Bahrain,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0775831936756532
Barbados,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0839587367806429
Belarus,2021.0,"Agricultural raw materials exports (% of merchandise exports)",3.58103012490945
Belgium,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.23008525474141
Belize,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.89588599504388
Benin,2021.0,"Agricultural raw materials exports (% of merchandise exports)",74.8025942262218
Bolivia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.725177607062675
"Bosnia and Herzegovina",2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.92396526696738
Botswana,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0780616146499678
Brazil,2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.78121835605649
Brunei,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0257121956380316
Bulgaria,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.922793515948542
"Burkina Faso",2021.0,"Agricultural raw materials exports (% of merchandise exports)",9.008462733674
Burundi,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.136350752193933
"Cabo Verde",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0820121077128522
Cambodia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",2.64743870808003
Cameroon,2021.0,"Agricultural raw materials exports (% of merchandise exports)",18.6300696467679
Canada,2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.84155018051731
"Cayman Islands",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.775875043707622
"Central African Republic",2021.0,"Agricultural raw materials exports (% of merchandise exports)",14.7741752895596
Chile,2021.0,"Agricultural raw materials exports (% of merchandise exports)",5.17365429726542
China,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.339094401293609
Colombia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.5668873886579
Comoros,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0697174297679585
"Dem. Rep. Congo",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.43863773158072
Congo,2021.0,"Agricultural raw materials exports (% of merchandise exports)",14.2084943093739
"Costa Rica",2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.68950886646394
"Côte d'Ivoire",2021.0,"Agricultural raw materials exports (% of merchandise exports)",13.5819483787686
Croatia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.18080865272817
Cyprus,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.876415796289517
Czechia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.58505081617677
Denmark,2021.0,"Agricultural raw materials exports (% of merchandise exports)",2.27709855846373
Djibouti,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.294755200221918
Dominica,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.297528658501065
"Dominican Republic",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.616921086260117
Ecuador,2021.0,"Agricultural raw materials exports (% of merchandise exports)",4.46565430786848
Egypt,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.41002980498021
"El Salvador",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.821602918989625
Estonia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",7.90083733267508
Eswatini,2021.0,"Agricultural raw materials exports (% of merchandise exports)",6.57424802578184
Ethiopia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",9.96316623881699
Fiji,2021.0,"Agricultural raw materials exports (% of merchandise exports)",10.4658134974201
Finland,2021.0,"Agricultural raw materials exports (% of merchandise exports)",8.42924581825946
France,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.06481875640103
"French Polynesia",2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.77267997103016
Gabon,2021.0,"Agricultural raw materials exports (% of merchandise exports)",5.92866965465237
"The Gambia",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.214007104152573
Georgia,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.698277360236546
Germany,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.882402559849939
Ghana,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.61447853701644
Greece,2021.0,"Agricultural raw materials exports (% of merchandise exports)",2.32667800721012
Grenada,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0857499552998421
Guatemala,2021.0,"Agricultural raw materials exports (% of merchandise exports)",3.23476153964756
Guyana,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.451699936706263
Honduras,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.20259311629422
"Hong Kong SAR, China",2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.0441743390329776
Hungary,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.70329802716786
Iceland,2021.0,"Agricultural raw materials exports (% of merchandise exports)",0.595220753274331
India,2021.0,"Agricultural raw materials exports (% of merchandise exports)",1.46901995334455
