Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,5300,5261,39,17.303,110.285,92.982,59.396,54.368,17.383,-0.201,0.713
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,5300,5260,40,1.012,74.792,73.78,12.86,9.332,8.891,3.112,1.453
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,5300,5260,40,15.235,105.515,90.28,46.406,40.734,22.145,-0.755,0.666
Net migration,0,0.0,1.151,float64,5300,4858,291,-10103029.0,10260160.0,20363189.0,-96311.425,-1324.0,937765.656,23.572,-1.383
Population ages 0-14 (% of total population),0,0.0,0.0,float64,5300,5260,40,10.699,50.177,39.478,28.148,26.904,10.436,-1.192,0.294
"Population ages 0-14, female",0,0.0,0.0,float64,5300,5230,69,1507.0,983330040.0,983328533.0,40312786.752,1303861.5,123701626.773,26.882,4.868
"Population ages 0-14, female (% of female population)",0,0.0,0.0,float64,5300,5263,37,9.571,49.381,39.81,27.66,26.71,10.42,-1.193,0.25
"Population ages 0-14, male",0,0.0,0.0,float64,5300,5233,67,1687.0,1045918482.0,1045916795.0,42850975.09,1359401.0,132221954.597,26.901,4.877
"Population ages 0-14, male (% of male population)",0,0.0,0.0,float64,5300,5260,40,9.258,51.747,42.489000000000004,28.75,27.503,10.495,-1.178,0.298
"Population ages 0-14, total",0,0.0,0.0,float64,5300,5245,54,3196.0,2029248546.0,2029245350.0,83163761.805,2665203.5,255911947.043,26.895,4.873
"Population ages 00-04, female (% of female population)",0,0.0,0.0,float64,5300,5260,40,2.549,20.548,17.999,9.691,8.922,4.323,-0.934,0.487
"Population ages 00-04, male (% of male population)",0,0.0,0.0,float64,5300,5260,40,2.7,20.682,17.982,10.081,9.104,4.38,-0.912,0.535
"Population ages 05-09, female (% of female population)",0,0.0,0.0,float64,5300,5260,40,3.145,16.472,13.327000000000002,9.2,8.892,3.454,-1.206,0.226
"Population ages 05-09, male (% of male population)",0,0.0,0.0,float64,5300,5260,40,3.166,17.28,14.114,9.559,9.157,3.473,-1.192,0.28
