Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,740,740,0,24.139,85.158,54.428,52.879,13.695,-0.751,0.159
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,740,740,0,2.072,50.285,10.84,8.877,7.299,8.842,2.572
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,740,740,0,15.235,77.724,43.588,41.852,16.807,-1.118,0.115
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,59.459,float64,740,3,3,0.0,1.0,0.361,0.0,0.457,-1.553,0.578
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,27.973,float64,740,2,2,0.0,1.0,0.72,1.0,0.449,-1.036,-0.983
CRVS (WDI),0,0.0,75.27,float64,740,3,3,0.0,1.0,0.236,0.0,0.419,-0.415,1.242
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0,0.0,12.432,float64,740,602,10,0.0,13259.639,372.55,4.538,1662.245,36.61,6.052
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,0.0,12.432,float64,740,649,1,0.0,202.865,6.388,1.796,15.642,52.632,6.337
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0,0.0,12.432,float64,740,484,43,0.0,1562.902,40.804,0.103,203.985,37.741,6.184
Dimension 1.5: Data use by international organizations,0,0.0,8.243,float64,740,19,17,0.0,1.0,0.452,0.4,0.297,-0.844,0.406
Dimension 3.1: Social Statistics,0,0.0,0.0,float64,740,555,118,0.028,0.939,0.47,0.49,0.221,-0.96,-0.205
Dimension 3.2: Economic Statistics,0,0.0,0.0,float64,740,445,152,0.033,0.949,0.466,0.45,0.194,-0.125,0.201
Dimension 3.4: Institutional Statistics,0,0.0,0.946,float64,740,251,138,0.0,0.969,0.468,0.492,0.213,-0.575,-0.248
Dimension 4.2: Administrative Data,0,0.0,75.27,float64,740,3,3,0.0,1.0,0.236,0.0,0.419,-0.415,1.242
