Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,1700,1700,0,17.303,100.416,83.113,47.715,48.669,9.863,2.811,0.138
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,1700,1700,0,1.012,74.792,73.78,19.77,20.531,10.375,2.092,0.588
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,1700,1700,0,15.235,64.697,49.462,27.945,26.108,8.229,3.714,1.698
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,49.176,float64,1700,3,3,0.0,1.0,1.0,0.502,0.5,0.497,-1.99,-0.008
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,36.765,float64,1700,2,2,0.0,1.0,1.0,0.632,1.0,0.482,-1.7,-0.549
CRVS (WDI),0,0.0,55.353,float64,1700,3,3,0.0,1.0,1.0,0.441,0.0,0.494,-1.933,0.24
Dimension 1.5: Data use by international organizations,0,0.0,13.059,float64,1700,13,12,0.0,1.0,1.0,0.492,0.4,0.323,-1.005,0.166
Dimension 4.2: Administrative Data,0,0.0,55.353,float64,1700,3,3,0.0,1.0,1.0,0.441,0.0,0.494,-1.933,0.24
Labor force participation rate by sex and age (%),0,0.0,44.647,float64,1700,3,3,0.0,1.0,1.0,0.516,0.5,0.481,-1.916,-0.062
Net migration,0,0.0,1.294,float64,1700,1567,82,-988751.0,1889129.0,2877880.0,59069.081,1296.0,198908.807,38.134,5.279
Pillar 1  - Data Use - Score,0,0.0,13.059,float64,1700,13,12,0.0,100.0,100.0,49.239,40.0,32.275,-1.005,0.166
Population ages 0-14 (% of total population),0,0.0,0.0,float64,1700,1700,0,10.699,38.323,27.624000000000002,18.868,17.645,5.045,1.853,1.317
"Population ages 0-14, female",0,0.0,0.0,float64,1700,1677,22,1572.0,29974283.0,29972711.0,1276157.679,160507.0,3626117.68,41.845,6.0
"Population ages 0-14, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,9.571,38.381,28.810000000000002,18.781,17.223,5.712,0.878,1.155
"Population ages 0-14, male",0,0.0,0.0,float64,1700,1678,22,1715.0,31626556.0,31624841.0,1346481.133,168024.5,3823723.739,41.809,5.995
"Population ages 0-14, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,9.258,38.886,29.628000000000004,19.242,18.056,4.99,2.236,1.338
"Population ages 0-14, total",0,0.0,0.0,float64,1700,1687,12,3287.0,61600838.0,61597551.0,2622638.816,328531.5,7449792.493,41.827,5.997
"Population ages 00-04, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,2.549,15.272,12.723,6.188,5.525,2.168,1.751,1.379
"Population ages 00-04, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,2.7,16.895,14.195,6.316,5.866,1.829,4.266,1.639
"Population ages 05-09, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.145,13.195,10.05,6.275,5.794,1.94,0.776,1.105
"Population ages 05-09, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,3.166,13.795,10.629,6.423,6.066,1.69,2.343,1.332
"Population ages 10-14, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.262,13.274,10.011999999999999,6.319,5.93,1.742,0.778,0.985
"Population ages 10-14, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,2.515,13.128,10.613,6.503,6.202,1.64,1.314,0.984
"Population ages 15-19, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.288,12.647,9.359,6.366,6.101,1.54,1.082,0.936
"Population ages 15-19, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,2.426,12.768,10.342,6.621,6.374,1.508,0.563,0.635
Population ages 15-64 (% of total population),0,0.0,0.0,float64,1700,1700,0,49.896,85.249,35.352999999999994,68.004,67.263,4.628,1.951,0.664
"Population ages 15-64, female",0,0.0,0.0,float64,1700,1690,9,3031.0,106256922.0,106253891.0,5112207.074,688441.0,13682555.454,30.867,5.124
"Population ages 15-64, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,49.364,80.992,31.628000000000007,66.568,65.985,4.188,0.982,0.222
"Population ages 15-64, male",0,0.0,0.0,float64,1700,1692,8,3145.0,111349151.0,111346006.0,5256670.775,921073.5,13899345.679,32.991,5.266
"Population ages 15-64, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,50.45,89.869,39.419,69.209,68.52,5.099,2.84,0.946
"Population ages 15-64, total",0,0.0,0.0,float64,1700,1696,4,6176.0,217606073.0,217599897.0,10368877.837,1557458.0,27566773.719,31.965,5.198
"Population ages 20-24, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.611,11.993,8.382,6.63,6.329,1.503,0.88,0.925
"Population ages 20-24, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,4.2,14.234,10.033999999999999,7.033,6.773,1.532,2.029,1.149
"Population ages 25-29, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.758,14.124,10.366,7.069,6.699,1.636,2.011,1.221
"Population ages 25-29, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,4.174,19.422,15.248000000000001,7.585,7.082,2.265,7.142,2.347
"Population ages 30-34, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.985,15.394,11.409,7.354,6.97,1.577,3.425,1.546
"Population ages 30-34, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,4.251,18.853,14.602,7.817,7.293,2.22,6.903,2.406
"Population ages 35-39, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,4.323,12.939,8.616,7.383,7.117,1.325,1.954,1.244
"Population ages 35-39, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,4.175,17.087,12.911999999999999,7.76,7.336,1.715,4.52,1.873
"Population ages 40-44, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,4.298,10.976,6.678000000000001,7.259,7.154,1.098,0.703,0.552
"Population ages 40-44, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,3.936,13.608,9.672,7.585,7.379,1.252,2.215,0.994
"Population ages 45-49, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,3.313,9.903,6.59,6.99,6.943,1.089,0.694,-0.214
"Population ages 45-49, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,3.823,12.811,8.988,7.246,7.147,1.048,1.061,0.178
"Population ages 50-54, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,2.407,9.571,7.164,6.53,6.651,1.235,0.996,-0.81
"Population ages 50-54, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,3.144,9.291,6.147,6.677,6.78,1.167,0.327,-0.547
"Population ages 55-59, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,1.644,9.363,7.718999999999999,5.907,6.201,1.465,0.372,-0.858
"Population ages 55-59, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,1.725,9.081,7.356,5.932,6.224,1.435,0.176,-0.754
"Population ages 60-64, female (% of female population)",0,0.0,0.0,float64,1700,1700,0,0.708,8.232,7.523999999999999,5.081,5.462,1.647,-0.343,-0.651
"Population ages 60-64, male (% of male population)",0,0.0,0.0,float64,1700,1700,0,0.845,8.723,7.878000000000001,4.952,5.319,1.607,-0.26,-0.646
Population ages 65 and above (% of total population),0,0.0,0.0,float64,1700,1700,0,0.862,37.319,36.457,13.128,13.991,6.296,-0.048,0.029
"Population ages 65 and above, female",0,0.0,0.0,float64,1700,1679,18,51.0,31675306.0,31675255.0,1477173.985,84928.0,3903242.287,20.416,4.255
