Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,840,840,0,30.829,86.251,55.422000000000004,51.244,51.23,9.337,0.423,0.341
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,840,840,0,4.662,38.029,33.367000000000004,12.553,10.957,5.638,2.721,1.491
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,840,840,0,18.831,79.223,60.391999999999996,38.691,37.022,11.441,0.09,0.729
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,57.5,float64,840,3,3,0.0,1.0,1.0,0.41,0.0,0.484,-1.834,0.368
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,33.333,float64,840,2,2,0.0,1.0,1.0,0.667,1.0,0.472,-1.502,-0.708
CRVS (WDI),0,0.0,62.024,float64,840,3,3,0.0,1.0,1.0,0.35,0.0,0.461,-1.531,0.629
Dimension 1.5: Data use by international organizations,0,0.0,13.571,float64,840,15,14,0.0,1.0,1.0,0.46,0.4,0.295,-0.756,0.195
Dimension 3.1: Social Statistics,0,0.0,1.905,float64,840,618,130,0.0,0.983,0.983,0.5,0.548,0.26,-0.887,-0.527
Dimension 3.2: Economic Statistics,0,0.0,0.0,float64,840,535,183,0.046,1.0,0.954,0.506,0.525,0.21,-0.486,-0.122
Dimension 3.4: Institutional Statistics,0,0.0,2.143,float64,840,235,129,0.0,0.969,0.969,0.539,0.619,0.244,-0.51,-0.74
Dimension 4.2: Administrative Data,0,0.0,62.024,float64,840,3,3,0.0,1.0,1.0,0.35,0.0,0.461,-1.531,0.629
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,16.429,float64,840,25,24,0.0,1.0,1.0,0.408,0.5,0.235,-0.177,-0.244
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,26.429,float64,840,22,21,0.0,1.0,1.0,0.437,0.5,0.329,-1.244,-0.045
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,2.024,float64,840,11,11,0.0,1.0,1.0,0.583,0.5,0.25,-0.612,0.32
GOAL 15: Life on Land (5 year moving average),0,0.0,0.119,float64,840,31,30,0.0,1.0,1.0,0.802,0.889,0.203,-0.22,-0.85
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,12.024,float64,840,36,29,0.0,1.0,1.0,0.487,0.556,0.262,-0.565,-0.524
