Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,1020,1020,0,38.562,99.043,60.48100000000001,69.395,68.734,13.968,-1.079,0.04
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,1020,1020,0,3.262,17.813,14.550999999999998,6.946,6.534,1.958,4.334,1.498
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,1020,1020,0,29.737,93.413,63.676,62.448,62.36,15.193,-1.03,-0.059
Agriculture census (Availability score over 20 years),0,0.0,33.627,float64,1020,3,3,0.0,1.0,1.0,0.617,1.0,0.462,-1.657,-0.478
Agriculture survey (Availability score over 10 years),0,0.0,65.392,float64,1020,4,4,0.0,1.0,1.0,0.219,0.0,0.352,0.454,1.399
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,49.02,float64,1020,3,3,0.0,1.0,1.0,0.378,0.5,0.412,-1.366,0.477
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,5.784,float64,1020,2,2,0.0,1.0,1.0,0.942,1.0,0.234,12.416,-3.794
Business/establishment census (Availability score over 20 years),0,0.0,68.039,float64,1020,3,3,0.0,1.0,1.0,0.307,0.0,0.454,-1.263,0.838
Business/establishment survey (Availability score over 10 years),0,0.0,65.49,float64,1020,4,4,0.0,1.0,1.0,0.227,0.0,0.36,0.176,1.318
CRVS (WDI),0,0.0,85.98,float64,1020,3,3,0.0,1.0,1.0,0.113,0.0,0.295,4.264,2.424
Control of Corruption: Estimate,0,0.0,0.0,float64,1020,1020,0,-1.673,1.618,3.2910000000000004,-0.578,-0.657,0.59,0.723,0.851
Control of Corruption: Number of Sources,0,0.0,0.0,float64,1020,16,16,1.0,16.0,15.0,10.138,11.0,3.511,-0.716,-0.439
Control of Corruption: Percentile Rank,0,0.0,0.0,float64,1020,652,200,0.476,93.333,92.857,32.996,29.216,20.865,-0.574,0.532
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,3.725,float64,1020,487,218,0.0,88.571,88.571,22.776,18.095,19.159,0.305,0.931
