Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,520,520,0,42.946,110.285,67.339,88.028,89.402,13.13,2.404,-1.215
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,520,520,0,3.56,17.435,13.874999999999998,5.636,5.162,2.026,16.086,3.858
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,520,520,0,27.32,105.515,78.195,82.392,84.239,14.611,4.131,-1.636
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,59.423,float64,520,3,3,0.0,1.0,1.0,0.272,0.0,0.363,-0.506,0.94
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,10.385,float64,520,2,2,0.0,1.0,1.0,0.896,1.0,0.305,4.803,-2.605
CRVS (WDI),0,0.0,100.0,float64,520,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Dimension 1.5: Data use by international organizations,0,0.0,3.462,float64,520,21,20,0.0,1.0,1.0,0.45,0.4,0.276,-1.007,0.489
Dimension 3.1: Social Statistics,0,0.0,0.0,float64,520,424,70,0.031,0.933,0.902,0.572,0.587,0.15,0.143,-0.356
Dimension 3.2: Economic Statistics,0,0.0,0.0,float64,520,358,106,0.221,0.932,0.7110000000000001,0.518,0.503,0.141,0.024,0.554
Dimension 3.4: Institutional Statistics,0,0.0,0.192,float64,520,206,107,0.0,0.938,0.938,0.521,0.539,0.17,-0.248,-0.175
Dimension 4.2: Administrative Data,0,0.0,100.0,float64,520,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,0.192,float64,520,17,15,0.0,0.9,0.9,0.494,0.5,0.14,0.76,0.781
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,29.615,float64,520,17,16,0.0,1.0,1.0,0.485,0.6,0.371,-1.46,-0.168
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,0.0,float64,520,7,7,0.333,1.0,0.667,0.569,0.5,0.21,-0.263,0.893
GOAL 15: Life on Land (5 year moving average),0,0.0,0.0,float64,520,15,14,0.6,1.0,0.4,0.912,0.889,0.093,0.815,-0.95
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,4.615,float64,520,28,24,0.0,1.0,1.0,0.44,0.429,0.203,0.122,0.271
GOAL 17: Partnerships to achieve the Goal (5 year moving average),0,0.0,1.346,float64,520,59,47,0.0,0.938,0.938,0.603,0.625,0.195,0.259,-0.702
GOAL 1: No Poverty (5 year moving average),0,0.0,8.269,float64,520,23,22,0.0,1.0,1.0,0.586,0.625,0.325,-1.103,-0.272
GOAL 2: Zero Hunger (5 year moving average),0,0.0,0.385,float64,520,35,25,0.0,0.909,0.909,0.656,0.667,0.19,0.181,-0.761
GOAL 3: Good Health and Well-being (5 year moving average),0,0.0,0.0,float64,520,55,42,0.188,1.0,0.812,0.663,0.682,0.106,2.189,-0.856
GOAL 4: Quality Education (5 year moving average),0,0.0,6.731,float64,520,28,27,0.0,1.0,1.0,0.381,0.364,0.226,0.973,0.764
GOAL 5: Gender Equality (5 year moving average),0,0.0,4.231,float64,520,23,22,0.0,1.0,1.0,0.339,0.286,0.22,0.114,0.813
GOAL 6: Clean Water and Sanitation (5 year moving average),0,0.0,1.154,float64,520,13,12,0.0,1.0,1.0,0.809,0.8,0.165,6.006,-1.711
GOAL 7: Affordable and Clean Energy (5 year moving average),0,0.0,0.0,float64,520,11,10,0.6,1.0,0.4,0.857,0.833,0.093,0.612,-0.755
GOAL 8: Decent Work and Economic Growth (5 year moving average),0,0.0,0.0,float64,520,42,39,0.083,0.889,0.806,0.351,0.308,0.19,0.7,1.092
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",0,0.0,0.192,float64,520,30,24,0.0,1.0,1.0,0.352,0.333,0.178,-0.335,0.475
Health/Demographic survey (Availability score over 10 years),0,0.0,5.769,float64,520,4,4,0.0,1.0,1.0,0.788,1.0,0.301,0.525,-1.263
Labor force participation rate by sex and age (%),0,0.0,56.346,float64,520,3,3,0.0,1.0,1.0,0.359,0.0,0.438,-1.444,0.582
Lower secondary school starting age (years),0,0.0,0.0,float64,520,4,4,10.0,13.0,3.0,12.246,12.0,0.686,0.861,-0.756
Net migration,0,0.0,0.0,float64,520,493,21,-2081303.0,801514.0,2882817.0,-21734.329,-4310.0,191235.51,40.287,-4.018
Pillar 1  - Data Use - Score,0,0.0,3.462,float64,520,21,20,0.0,100.0,100.0,45.016,40.0,27.567,-1.007,0.489
Population ages 0-14 (% of total population),0,0.0,0.0,float64,520,520,0,18.981,50.177,31.195999999999998,43.449,44.568,5.517,8.762,-2.652
"Population ages 0-14, female",0,0.0,0.0,float64,520,520,0,294708.0,24845761.0,24551053.0,4763830.1,3403820.5,5014731.51,5.034,2.248
"Population ages 0-14, female (% of female population)",0,0.0,0.0,float64,520,520,0,18.274,49.381,31.107,42.719,43.646,5.567,8.642,-2.62
"Population ages 0-14, male",0,0.0,0.0,float64,520,520,0,299156.0,25814544.0,25515388.0,4876251.321,3475709.0,5133178.926,5.111,2.254
"Population ages 0-14, male (% of male population)",0,0.0,0.0,float64,520,520,0,19.704,51.747,32.043,44.198,45.246,5.493,8.669,-2.634
"Population ages 0-14, total",0,0.0,0.0,float64,520,520,0,593865.0,50660304.0,50066439.0,9640081.39,6868091.5,10147193.133,5.07,2.251
"Population ages 00-04, female (% of female population)",0,0.0,0.0,float64,520,520,0,6.151,20.548,14.396999999999998,16.219,16.55,2.793,3.962,-1.681
"Population ages 00-04, male (% of male population)",0,0.0,0.0,float64,520,520,0,6.731,20.682,13.950999999999999,16.823,17.311,2.785,4.045,-1.748
"Population ages 05-09, female (% of female population)",0,0.0,0.0,float64,520,520,0,6.01,16.472,10.462000000000002,14.139,14.387,1.839,9.013,-2.7
"Population ages 05-09, male (% of male population)",0,0.0,0.0,float64,520,520,0,6.514,17.28,10.766000000000002,14.621,14.923,1.819,8.929,-2.688
"Population ages 10-14, female (% of female population)",0,0.0,0.0,float64,520,520,0,5.915,14.28,8.364999999999998,12.361,12.503,1.274,11.52,-3.0
"Population ages 10-14, male (% of male population)",0,0.0,0.0,float64,520,520,0,6.362,15.742,9.38,12.753,12.901,1.263,10.403,-2.701
"Population ages 15-19, female (% of female population)",0,0.0,0.0,float64,520,520,0,6.071,12.523,6.452,10.642,10.702,0.924,6.231,-1.908
"Population ages 15-19, male (% of male population)",0,0.0,0.0,float64,520,520,0,6.51,13.028,6.518000000000001,10.93,10.986,0.916,4.516,-1.376
Population ages 15-64 (% of total population),0,0.0,0.0,float64,520,520,0,47.554,69.957,22.40299999999999,53.473,52.798,4.185,5.024,1.91
"Population ages 15-64, female",0,0.0,0.0,float64,520,520,0,373557.0,37098451.0,36724894.0,5980502.248,4131486.5,6179135.218,6.624,2.392
"Population ages 15-64, female (% of female population)",0,0.0,0.0,float64,520,520,0,47.844,68.648,20.803999999999995,53.841,53.458,3.951,3.639,1.554
"Population ages 15-64, male",0,0.0,0.0,float64,520,520,0,338948.0,36851724.0,36512776.0,5861395.29,4051586.0,6104488.864,6.815,2.418
"Population ages 15-64, male (% of male population)",0,0.0,0.0,float64,520,520,0,46.384,71.326,24.941999999999993,53.093,52.385,4.478,6.217,2.175
"Population ages 15-64, total",0,0.0,0.0,float64,520,520,0,712505.0,73950174.0,73237669.0,11841897.513,8181743.5,12281806.243,6.723,2.406
"Population ages 20-24, female (% of female population)",0,0.0,0.0,float64,520,520,0,6.754,11.376,4.622,9.001,9.023,0.729,0.838,-0.288
"Population ages 20-24, male (% of male population)",0,0.0,0.0,float64,520,520,0,7.114,11.664,4.55,9.158,9.152,0.699,0.432,0.132
"Population ages 25-29, female (% of female population)",0,0.0,0.0,float64,520,520,0,5.565,9.262,3.697,7.52,7.515,0.638,0.102,0.131
"Population ages 25-29, male (% of male population)",0,0.0,0.0,float64,520,520,0,5.65,9.212,3.5619999999999994,7.56,7.584,0.647,-0.057,0.119
"Population ages 30-34, female (% of female population)",0,0.0,0.0,float64,520,520,0,4.971,9.032,4.061,6.275,6.273,0.638,0.349,0.541
"Population ages 30-34, male (% of male population)",0,0.0,0.0,float64,520,520,0,4.376,9.693,5.316999999999999,6.234,6.176,0.701,1.434,0.532
"Population ages 35-39, female (% of female population)",0,0.0,0.0,float64,520,520,0,3.78,9.2,5.42,5.25,5.143,0.757,6.116,1.67
"Population ages 35-39, male (% of male population)",0,0.0,0.0,float64,520,520,0,3.104,9.775,6.671,5.145,4.977,0.835,8.8,2.067
"Population ages 40-44, female (% of female population)",0,0.0,0.0,float64,520,520,0,2.927,8.921,5.994,4.368,4.258,0.845,9.495,2.503
"Population ages 40-44, male (% of male population)",0,0.0,0.0,float64,520,520,0,2.372,9.358,6.986000000000001,4.204,4.028,0.923,11.849,2.878
