Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,60,60,0,42.897,53.909,11.012,47.988,48.055,3.2,-1.204,0.169
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,60,60,0,17.281,32.069,14.788000000000004,22.461,21.679,3.822,-0.579,0.63
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,60,60,0,21.282,30.513,9.231000000000002,25.527,24.24,2.725,-1.283,0.266
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,33.333,float64,60,2,2,0.0,1.0,1.0,0.667,1.0,0.475,-1.526,-0.725
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,33.333,float64,60,2,2,0.0,1.0,1.0,0.667,1.0,0.475,-1.526,-0.725
CRVS (WDI),0,0.0,55.0,float64,60,2,2,0.0,1.0,1.0,0.45,0.0,0.502,-2.026,0.206
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0,0.0,0.0,float64,60,60,0,-39.287,41.941,81.22800000000001,13.725,17.913,19.445,0.083,-0.812
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0,0.0,0.0,float64,60,60,0,0.153,5888.308,5888.155,1936.576,575.283,2375.395,-1.425,0.727
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,0.0,0.0,float64,60,60,0,2.405,20.082,17.677,12.374,15.411,6.018,-1.424,-0.592
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),0,0.0,0.0,float64,60,60,0,0.009,646.307,646.298,224.066,88.031,259.899,-1.484,0.677
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),0,0.0,33.333,float64,60,41,1,0.0,313.92,313.92,137.333,118.604,122.459,-1.531,0.242
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),0,0.0,0.0,float64,60,58,2,0.005,511.674,511.669,173.166,67.255,201.319,-1.474,0.681
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0,0.0,0.0,float64,60,49,7,0.001,163.513,163.512,59.211,29.452,64.82,-1.449,0.639
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0,0.0,0.0,float64,60,60,0,0.082,2522.866,2522.784,717.603,101.498,972.506,-1.142,0.85
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),0,0.0,0.0,float64,60,60,0,0.055,1807.722,1807.667,622.04,168.373,772.098,-1.495,0.71
Carbon intensity of GDP (kg CO2e per 2021 PPP $),0,0.0,0.0,float64,60,60,0,0.024,0.345,0.32099999999999995,0.201,0.255,0.119,-1.528,-0.47
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),0,0.0,0.0,float64,60,60,0,0.021,0.44,0.419,0.239,0.297,0.152,-1.545,-0.399
"Compulsory education, duration (years)",0,0.0,0.0,float64,60,3,3,10.0,13.0,3.0,11.667,12.0,1.258,-1.526,-0.392
Control of Corruption: Estimate,0,0.0,0.0,float64,60,60,0,1.019,2.062,1.043,1.469,1.324,0.305,-1.082,0.621
Control of Corruption: Number of Sources,0,0.0,0.0,float64,60,8,8,1.0,13.0,12.0,7.333,9.5,4.689,-1.554,-0.51
Control of Corruption: Percentile Rank,0,0.0,0.0,float64,60,50,8,81.905,96.651,14.745999999999995,89.92,88.625,3.963,-0.93,0.055
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,55,5,65.566,93.78,28.214,81.154,81.429,9.167,-1.355,-0.179
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",0,0.0,0.0,float64,60,46,9,88.571,99.524,10.953000000000003,94.524,95.133,3.023,-0.867,-0.392
Control of Corruption: Standard Error,0,0.0,0.0,float64,60,60,0,0.129,0.464,0.335,0.24,0.162,0.127,-1.395,0.749
DEC alternative conversion factor (LCU per US$),0,0.0,0.0,float64,60,21,1,0.989,1.35,0.3610000000000001,1.064,1.0,0.117,0.703,1.544
Dimension 1.5: Data use by international organizations,0,0.0,10.0,float64,60,7,6,0.0,1.0,1.0,0.548,0.4,0.328,-1.034,0.113
Dimension 3.1: Social Statistics,0,0.0,0.0,float64,60,44,9,0.117,0.856,0.739,0.444,0.524,0.231,-1.191,-0.218
Dimension 3.2: Economic Statistics,0,0.0,0.0,float64,60,44,13,0.117,0.956,0.839,0.437,0.45,0.228,-0.588,0.316
Dimension 3.4: Institutional Statistics,0,0.0,0.0,float64,60,34,10,0.193,0.862,0.669,0.455,0.492,0.178,-0.554,0.145
Dimension 4.2: Administrative Data,0,0.0,55.0,float64,60,2,2,0.0,1.0,1.0,0.45,0.0,0.502,-2.026,0.206
Export unit value index (2015 = 100),0,0.0,0.0,float64,60,54,5,83.6,146.3,62.70000000000002,110.71,107.3,15.675,-0.648,0.483
