Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,160,160,0,32.265,110.285,61.483,56.798,17.805,0.449,0.903
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,160,160,0,4.356,17.813,7.89,7.602,2.619,3.143,1.504
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,160,160,0,26.518,105.515,53.593,48.944,19.134,0.338,0.988
Agriculture census (Availability score over 20 years),0,0.0,12.5,float64,160,3,3,0.0,1.0,0.834,1.0,0.344,1.562,-1.797
Agriculture survey (Availability score over 10 years),0,0.0,62.5,float64,160,4,4,0.0,1.0,0.153,0.0,0.23,3.027,1.67
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,46.875,float64,160,3,3,0.0,1.0,0.419,0.5,0.434,-1.603,0.322
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,2.5,float64,160,2,2,0.0,1.0,0.975,1.0,0.157,36.184,-6.143
Business/establishment census (Availability score over 20 years),0,0.0,63.125,float64,160,2,2,0.0,1.0,0.369,0.0,0.484,-1.72,0.549
Business/establishment survey (Availability score over 10 years),0,0.0,43.125,float64,160,4,4,0.0,1.0,0.358,0.33,0.392,-1.058,0.685
CRVS (WDI),0,0.0,79.375,float64,160,3,3,0.0,1.0,0.172,0.0,0.355,1.302,1.744
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0,0.0,0.0,float64,160,160,0,-69.444,2921.324,526.857,297.791,578.597,5.183,2.248
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),0,0.0,0.0,float64,160,160,0,0.481,2955.182,292.009,13.82,691.857,5.163,2.558
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),0,0.0,0.0,float64,160,160,0,0.038,5.468,1.216,0.811,1.206,3.183,1.846
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),0,0.0,0.0,float64,160,159,1,0.012,221.759,25.02,1.189,55.418,4.043,2.37
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),0,0.0,13.125,float64,160,108,13,0.0,129.168,10.855,0.039,27.508,5.66,2.609
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),0,0.0,0.0,float64,160,160,0,0.11,619.017,63.232,2.189,150.765,5.167,2.567
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),0,0.0,0.0,float64,160,157,2,0.002,237.901,23.67,0.964,53.217,5.506,2.584
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),0,0.0,5.625,float64,160,146,5,0.0,1376.994,128.655,2.887,320.336,5.258,2.581
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),0,0.0,0.0,float64,160,160,0,0.069,339.761,36.456,4.688,78.207,5.589,2.588
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0,0.0,0.0,float64,160,160,0,1.674,89.657,44.861,48.897,22.866,-0.904,-0.05
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0,0.0,0.0,float64,160,160,0,1.53,41.7,14.475,11.803,10.957,-0.434,0.79
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",0,0.0,0.0,float64,160,160,0,1.563,47.841,22.383,20.496,13.001,-0.906,0.38
Control of Corruption: Estimate,0,0.0,0.0,float64,160,160,0,-1.672,1.618,-0.525,-0.678,0.751,1.407,1.252
Control of Corruption: Number of Sources,0,0.0,0.0,float64,160,13,12,3.0,15.0,10.212,11.0,3.167,-0.918,-0.476
Control of Corruption: Percentile Rank,0,0.0,0.0,float64,160,134,21,0.474,93.333,33.993,28.845,23.62,0.274,0.883
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",0,0.0,11.25,float64,160,122,16,0.0,88.571,24.33,17.143,23.151,1.179,1.377
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",0,0.0,0.0,float64,160,130,23,3.81,95.755,43.856,45.456,23.285,-0.156,0.511
Control of Corruption: Standard Error,0,0.0,0.0,float64,160,144,13,0.122,0.312,0.177,0.161,0.045,0.642,1.211
DEC alternative conversion factor (LCU per US$),0,0.0,0.0,float64,160,154,1,12.8,327.533,78.039,71.054,49.016,7.78,2.077
