Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Spread,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,960,960,0,38.392,110.088,71.696,82.336,84.848,14.83,1.025,-0.991
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,960,960,0,3.262,17.991,14.729,5.9,5.578,1.64,11.157,2.547
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,960,960,0,21.025,105.216,84.191,76.436,79.197,15.984,1.588,-1.161
Agriculture census (Availability score over 20 years),0,0.0,46.458,float64,960,3,3,0.0,1.0,1.0,0.477,0.5,0.47,-1.862,0.091
Agriculture survey (Availability score over 10 years),0,0.0,63.021,float64,960,4,4,0.0,1.0,1.0,0.273,0.0,0.402,-0.655,1.044
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,56.042,float64,960,3,3,0.0,1.0,1.0,0.283,0.0,0.354,-0.573,0.844
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,8.125,float64,960,2,2,0.0,1.0,1.0,0.919,1.0,0.273,7.441,-3.07
Business/establishment census (Availability score over 20 years),0,0.0,74.062,float64,960,3,3,0.0,1.0,1.0,0.254,0.0,0.432,-0.695,1.134
Business/establishment survey (Availability score over 10 years),0,0.0,74.688,float64,960,4,4,0.0,1.0,1.0,0.161,0.0,0.312,1.851,1.804
CRVS (WDI),0,0.0,94.271,float64,960,3,3,0.0,1.0,1.0,0.055,0.0,0.226,13.34,3.901
Dimension 1.5: Data use by international organizations,0,0.0,2.396,float64,960,22,21,0.0,1.0,1.0,0.479,0.4,0.273,-1.175,0.362
Dimension 3.1: Social Statistics,0,0.0,0.0,float64,960,741,147,0.031,0.933,0.902,0.596,0.605,0.133,0.599,-0.387
Dimension 3.2: Economic Statistics,0,0.0,0.0,float64,960,588,214,0.221,0.932,0.7110000000000001,0.538,0.525,0.144,-0.24,0.492
Dimension 3.4: Institutional Statistics,0,0.0,0.104,float64,960,241,154,0.0,0.969,0.969,0.565,0.562,0.158,0.221,-0.376
Dimension 4.1: Censuses and Surveys - Censuses only,0,0.0,8.438,float64,960,7,7,0.0,1.0,1.0,0.52,0.5,0.275,-0.586,-0.079
Dimension 4.1: Censuses and Surveys - Surveys only,0,0.0,1.354,float64,960,31,28,0.0,1.0,1.0,0.456,0.4,0.226,-0.607,0.239
Dimension 4.2: Administrative Data,0,0.0,94.271,float64,960,3,3,0.0,1.0,1.0,0.055,0.0,0.226,13.34,3.901
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,0.104,float64,960,17,16,0.0,0.9,0.9,0.507,0.5,0.136,0.853,0.878
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,26.354,float64,960,19,18,0.0,1.0,1.0,0.496,0.6,0.36,-1.341,-0.191
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,0.0,float64,960,7,7,0.333,1.0,0.667,0.587,0.5,0.218,-0.616,0.736
GOAL 15: Life on Land (5 year moving average),0,0.0,0.0,float64,960,17,14,0.583,1.0,0.41700000000000004,0.917,0.889,0.089,0.988,-0.978
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,4.583,float64,960,33,26,0.0,1.0,1.0,0.463,0.444,0.201,0.235,0.1
GOAL 17: Partnerships to achieve the Goal (5 year moving average),0,0.0,0.729,float64,960,58,48,0.0,0.938,0.938,0.667,0.667,0.175,1.334,-0.971
GOAL 1: No Poverty (5 year moving average),0,0.0,1.875,float64,960,23,22,0.0,1.0,1.0,0.622,0.667,0.276,-0.873,-0.253
GOAL 2: Zero Hunger (5 year moving average),0,0.0,0.208,float64,960,39,31,0.0,1.0,1.0,0.664,0.7,0.191,-0.022,-0.7
GOAL 3: Good Health and Well-being (5 year moving average),0,0.0,0.0,float64,960,64,54,0.188,1.0,0.812,0.681,0.688,0.108,1.498,-0.477
GOAL 4: Quality Education (5 year moving average),0,0.0,4.167,float64,960,32,30,0.0,1.0,1.0,0.428,0.4,0.217,0.764,0.648
GOAL 5: Gender Equality (5 year moving average),0,0.0,1.979,float64,960,23,22,0.0,1.0,1.0,0.357,0.286,0.21,0.322,0.862
GOAL 6: Clean Water and Sanitation (5 year moving average),0,0.0,0.625,float64,960,15,13,0.0,1.0,1.0,0.824,0.8,0.158,4.041,-1.261
