Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),0,0.0,0.0,float64,1080,1080,0,32.265,86.251,52.765,50.929,9.943,0.376,0.856
"Age dependency ratio, old (% of working-age population)",0,0.0,0.0,float64,1080,1080,0,3.527,35.283,11.996,10.278,5.884,0.905,1.145
"Age dependency ratio, young (% of working-age population)",0,0.0,0.0,float64,1080,1080,0,19.832,79.26,40.769,39.712,13.37,-0.376,0.574
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,37.685,float64,1080,3,3,0.0,1.0,0.579,1.0,0.471,-1.799,-0.318
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,10.463,float64,1080,2,2,0.0,1.0,0.895,1.0,0.306,4.702,-2.587
CRVS (WDI),0,0.0,67.5,float64,1080,3,3,0.0,1.0,0.311,0.0,0.456,-1.296,0.817
Dimension 1.5: Data use by international organizations,0,0.0,2.407,float64,1080,19,16,0.0,1.0,0.546,0.5,0.277,-0.972,0.202
Dimension 4.2: Administrative Data,0,0.0,67.5,float64,1080,3,3,0.0,1.0,0.311,0.0,0.456,-1.296,0.817
Health/Demographic survey (Availability score over 10 years),0,0.0,11.204,float64,1080,4,4,0.0,1.0,0.604,0.67,0.338,-1.119,-0.272
Labor force participation rate by sex and age (%),0,0.0,40.926,float64,1080,3,3,0.0,1.0,0.519,0.5,0.463,-1.83,-0.077
Net migration,0,0.0,1.204,float64,1080,1023,33,-5699445.0,1063140.0,-14149.114,-2747.5,219839.089,418.033,-16.113
Pillar 1  - Data Use - Score,0,0.0,2.407,float64,1080,19,16,0.0,100.0,54.611,50.0,27.725,-0.972,0.202
Population & Housing census (Availability score over 20 years),0,0.0,3.241,float64,1080,3,3,0.0,1.0,0.926,1.0,0.218,8.799,-3.067
Population ages 0-14 (% of total population),0,0.0,0.0,float64,1080,1080,0,13.22,42.889,26.3,26.327,6.961,-0.783,0.177
"Population ages 0-14, female",0,0.0,0.0,float64,1080,1078,2,1507.0,127993449.0,5155298.873,536357.0,16465139.85,36.775,5.909
"Population ages 0-14, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,12.162,41.765,25.6,25.852,7.137,-0.752,0.154
"Population ages 0-14, male",0,0.0,0.0,float64,1080,1080,0,1687.0,146598575.0,5641575.658,551145.0,18914101.666,38.739,6.101
"Population ages 0-14, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,14.386,44.102,27.064,27.11,6.839,-0.768,0.202
"Population ages 0-14, total",0,0.0,0.0,float64,1080,1080,0,3196.0,274592024.0,10796874.533,1087839.0,35373853.964,37.835,6.013
"Population ages 00-04, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,3.131,16.65,8.625,8.399,2.879,-0.356,0.486
"Population ages 00-04, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,3.832,16.335,9.144,8.813,2.787,-0.566,0.428
"Population ages 05-09, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,3.778,14.074,8.513,8.526,2.415,-0.74,0.158
"Population ages 05-09, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.6,14.73,9.0,8.93,2.315,-0.723,0.219
"Population ages 10-14, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,3.838,13.41,8.462,8.653,2.088,-0.79,-0.116
"Population ages 10-14, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.658,13.889,8.919,9.108,2.011,-0.709,0.062
"Population ages 15-19, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,3.891,13.845,8.501,8.716,1.851,-0.398,-0.265
"Population ages 15-19, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.71,14.102,8.944,9.012,1.776,-0.447,-0.091
Population ages 15-64 (% of total population),0,0.0,0.0,float64,1080,1080,0,53.691,75.606,65.725,66.256,4.092,-0.087,-0.548
"Population ages 15-64, female",0,0.0,0.0,float64,1080,1080,0,2908.0,482416155.0,16815094.894,1697442.5,64877587.676,43.174,6.538
"Population ages 15-64, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,54.255,73.247,65.358,65.925,3.872,-0.018,-0.581
"Population ages 15-64, male",0,0.0,0.0,float64,1080,1080,0,2831.0,506401569.0,17173018.96,1642294.0,67990125.244,43.758,6.595
"Population ages 15-64, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,53.121,79.105,66.089,66.5,4.492,0.046,-0.435
"Population ages 15-64, total",0,0.0,0.0,float64,1080,1080,0,5774.0,988372117.0,33988113.844,3368744.5,132862977.398,43.475,6.567
"Population ages 20-24, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,4.01,12.899,8.424,8.608,1.481,0.494,-0.374
"Population ages 20-24, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.845,14.821,8.843,8.956,1.417,1.002,0.028
"Population ages 25-29, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,4.314,12.0,8.074,8.18,1.097,1.221,-0.015
"Population ages 25-29, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,5.178,15.231,8.435,8.398,1.209,6.934,1.412
"Population ages 30-34, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,4.801,11.194,7.528,7.498,0.872,1.957,0.624
"Population ages 30-34, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.538,15.239,7.776,7.677,1.064,11.279,1.921
"Population ages 35-39, female (% of female population)",0,0.0,0.0,float64,1080,1080,0,4.852,10.48,6.926,6.903,0.814,1.675,0.629
"Population ages 35-39, male (% of male population)",0,0.0,0.0,float64,1080,1080,0,4.542,13.583,7.045,7.03,0.949,4.732,1.03
