Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
CountryShortName,0,0.0,0.0,object,749,37,37,.,.,.,.,.,.,.
Year,0,0.0,0.0,float64,749,21,21,2004.0,2024.0,2013.626,2014.0,5.849,-1.199,0.005
Age dependency ratio (% of working-age population),9,1.202,0.0,float64,740,740,0,24.139,85.158,54.428,52.879,13.695,-0.751,0.159
"Age dependency ratio, old (% of working-age population)",9,1.202,0.0,float64,740,740,0,2.072,50.285,10.84,8.877,7.299,8.842,2.572
"Age dependency ratio, young (% of working-age population)",9,1.202,0.0,float64,740,740,0,15.235,77.724,43.588,41.852,16.807,-1.118,0.115
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),9,1.202,58.745,float64,740,3,3,0.0,1.0,0.361,0.0,0.457,-1.553,0.578
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",9,1.202,27.637,float64,740,2,2,0.0,1.0,0.72,1.0,0.449,-1.036,-0.983
CRVS (WDI),9,1.202,74.366,float64,740,3,3,0.0,1.0,0.236,0.0,0.419,-0.415,1.242
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),9,1.202,12.283,float64,740,602,10,0.0,13259.639,372.55,4.538,1662.245,36.61,6.052
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),9,1.202,12.283,float64,740,649,1,0.0,202.865,6.388,1.796,15.642,52.632,6.337
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),9,1.202,12.283,float64,740,484,43,0.0,1562.902,40.804,0.103,203.985,37.741,6.184
Dimension 1.5: Data use by international organizations,9,1.202,8.144,float64,740,19,17,0.0,1.0,0.452,0.4,0.297,-0.844,0.406
Dimension 3.1: Social Statistics,9,1.202,0.0,float64,740,555,118,0.028,0.939,0.47,0.49,0.221,-0.96,-0.205
Dimension 3.2: Economic Statistics,9,1.202,0.0,float64,740,445,152,0.033,0.949,0.466,0.45,0.194,-0.125,0.201
Dimension 3.4: Institutional Statistics,9,1.202,0.935,float64,740,251,138,0.0,0.969,0.468,0.492,0.213,-0.575,-0.248
Dimension 4.2: Administrative Data,9,1.202,74.366,float64,740,3,3,0.0,1.0,0.236,0.0,0.419,-0.415,1.242
GOAL 10: Reduced Inequality (5 year moving average),9,1.202,11.215,float64,740,24,21,0.0,1.0,0.413,0.429,0.209,0.123,-0.288
GOAL 11: Sustainable Cities and Communities (5 year moving average),9,1.202,29.372,float64,740,22,22,0.0,1.0,0.396,0.5,0.327,-1.143,0.192
GOAL 12: Responsible Consumption and Production (5 year moving average),9,1.202,8.278,float64,740,11,11,0.0,1.0,0.495,0.5,0.25,0.202,0.212
GOAL 15: Life on Land (5 year moving average),9,1.202,0.0,float64,740,26,25,0.4,1.0,0.829,0.889,0.165,-0.713,-0.652
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),9,1.202,12.684,float64,740,33,27,0.0,1.0,0.393,0.375,0.23,-0.476,-0.011
GOAL 17: Partnerships to achieve the Goal (5 year moving average),9,1.202,0.935,float64,740,70,65,0.0,0.938,0.543,0.571,0.24,-0.981,-0.219
GOAL 1: No Poverty (5 year moving average),9,1.202,15.621,float64,740,22,21,0.0,1.0,0.514,0.571,0.349,-1.357,-0.105
GOAL 2: Zero Hunger (5 year moving average),9,1.202,6.809,float64,740,33,33,0.0,1.0,0.475,0.5,0.282,-1.15,0.02
GOAL 3: Good Health and Well-being (5 year moving average),9,1.202,0.0,float64,740,77,72,0.04,0.96,0.585,0.667,0.265,-0.515,-0.87
GOAL 4: Quality Education (5 year moving average),9,1.202,19.226,float64,740,31,30,0.0,1.0,0.338,0.333,0.262,-0.197,0.52
GOAL 5: Gender Equality (5 year moving average),9,1.202,16.155,float64,740,20,18,0.0,0.875,0.284,0.286,0.203,-0.127,0.537
GOAL 6: Clean Water and Sanitation (5 year moving average),9,1.202,1.736,float64,740,23,21,0.0,1.0,0.625,0.6,0.254,-0.751,-0.205
GOAL 7: Affordable and Clean Energy (5 year moving average),9,1.202,0.0,float64,740,14,13,0.2,1.0,0.775,0.8,0.165,2.41,-1.47
GOAL 8: Decent Work and Economic Growth (5 year moving average),9,1.202,7.477,float64,740,50,45,0.0,1.0,0.347,0.273,0.24,-0.221,0.707
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",9,1.202,7.61,float64,740,36,33,0.0,1.0,0.37,0.333,0.253,-0.552,0.526
"Incidence of tuberculosis (per 100,000 people)",9,1.202,0.134,float64,740,308,142,0.0,1180.0,175.054,84.0,181.658,0.488,1.093
Labor force participation rate by sex and age (%),9,1.202,44.192,float64,740,3,3,0.0,1.0,0.457,0.5,0.448,-1.733,0.17
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),9,1.202,0.0,float64,740,635,25,-80.491,743.182,54.771,26.445,121.006,15.773,3.755
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),9,1.202,0.0,float64,740,633,25,0.001,1814.207,72.675,2.053,259.006,29.423,5.445
Methane (CH4) emissions from Agriculture (Mt CO2e),9,1.202,8.011,float64,740,528,48,0.0,655.871,34.219,0.298,105.969,27.043,5.182
Methane (CH4) emissions from Waste (Mt CO2e),9,1.202,0.0,float64,740,598,36,0.001,381.817,11.901,0.33,46.491,36.559,5.983
Net migration,9,1.202,1.602,float64,740,686,38,-1042019.0,571113.0,867.232,-1159.0,119691.164,19.616,-2.361
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),9,1.202,0.0,float64,740,602,39,0.0,427.021,17.78,0.289,66.62,29.405,5.485
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),9,1.202,8.011,float64,740,513,55,0.0,292.461,12.051,0.095,44.141,28.67,5.375
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),9,1.202,4.539,float64,740,442,65,0.0,27.362,0.953,0.012,3.8,32.101,5.718
Pillar 1  - Data Use - Score,9,1.202,8.144,float64,740,19,17,0.0,100.0,45.152,40.0,29.748,-0.844,0.406
Population ages 0-14 (% of total population),9,1.202,0.0,float64,740,740,0,10.699,42.263,27.575,27.893,8.629,-1.091,-0.212
"Population ages 0-14, female",9,1.202,0.0,float64,740,736,4,1507.0,127993449.0,5913268.332,227102.5,19524424.372,25.626,5.046
"Population ages 0-14, female (% of female population)",9,1.202,0.0,float64,740,740,0,9.571,42.058,26.971,27.391,8.6,-1.035,-0.224
"Population ages 0-14, male",9,1.202,0.0,float64,740,737,3,1687.0,146598575.0,6579201.532,241207.0,22496781.005,26.634,5.163
"Population ages 0-14, male (% of male population)",9,1.202,0.0,float64,740,740,0,11.283,42.477,28.198,28.293,8.672,-1.141,-0.197
"Population ages 0-14, total",9,1.202,0.0,float64,740,737,3,3196.0,274592024.0,12492469.866,469131.5,42016721.641,26.171,5.109
"Population ages 00-04, female (% of female population)",9,1.202,0.0,float64,740,740,0,2.549,16.52,9.192,9.174,3.388,-1.003,0.004
"Population ages 00-04, male (% of male population)",9,1.202,0.0,float64,740,740,0,2.7,16.895,9.634,9.445,3.445,-1.097,-0.002
"Population ages 05-09, female (% of female population)",9,1.202,0.0,float64,740,740,0,3.145,14.317,9.005,8.961,2.913,-1.009,-0.215
