Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
CountryShortName,0,0.0,0.0,object,1202,58,58,.,.,.,.,.,.,.
Year,0,0.0,0.0,float64,1202,21,21,2004.0,2024.0,2013.867,2014.0,5.986,-1.199,0.005
Age dependency ratio (% of working-age population),42,3.494,0.0,float64,1160,1160,0,36.344,100.416,50.655,50.272,7.36,9.814,1.939
"Age dependency ratio, old (% of working-age population)",42,3.494,0.0,float64,1160,1160,0,4.861,74.792,23.153,23.994,8.997,5.149,0.868
"Age dependency ratio, young (% of working-age population)",42,3.494,0.0,float64,1160,1160,0,16.932,68.728,27.502,25.051,8.309,4.928,2.149
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),42,3.494,20.216,float64,1160,3,3,0.0,1.0,0.778,1.0,0.408,-0.159,-1.336
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",42,3.494,17.304,float64,1160,2,2,0.0,1.0,0.821,1.0,0.384,0.804,-1.674
CRVS (WDI),42,3.494,54.659,float64,1160,3,3,0.0,1.0,0.43,0.0,0.493,-1.914,0.284
Dimension 1.5: Data use by international organizations,42,3.494,5.657,float64,1160,14,14,0.0,1.0,0.598,0.6,0.302,-0.937,-0.079
Dimension 4.2: Administrative Data,42,3.494,54.659,float64,1160,3,3,0.0,1.0,0.43,0.0,0.493,-1.914,0.284
Labor force participation rate by sex and age (%),42,3.494,38.27,float64,1160,3,3,0.0,1.0,0.572,1.0,0.479,-1.848,-0.291
Net migration,42,3.494,0.083,float64,1160,1130,25,-5699445.0,1175283.0,25883.998,911.0,208895.296,489.986,-16.91
Pillar 1  - Data Use - Score,42,3.494,5.657,float64,1160,14,14,0.0,100.0,59.787,60.0,30.178,-0.937,-0.079
Population ages 0-14 (% of total population),42,3.494,0.0,float64,1160,1160,0,12.144,39.256,18.205,16.433,5.062,3.095,1.829
"Population ages 0-14, female",42,3.494,0.0,float64,1160,1151,9,2088.0,12493747.0,1344791.628,472969.5,2254574.017,7.783,2.714
"Population ages 0-14, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,11.537,38.361,17.36,15.689,5.023,2.959,1.804
"Population ages 0-14, male",42,3.494,0.0,float64,1160,1154,6,2138.0,13169520.0,1415002.607,493821.5,2372650.805,7.764,2.711
"Population ages 0-14, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,12.242,40.223,19.119,17.332,5.155,3.031,1.807
"Population ages 0-14, total",42,3.494,0.0,float64,1160,1160,0,4226.0,25662708.0,2759794.227,965734.0,4627181.875,7.773,2.712
"Population ages 00-04, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,2.921,13.843,5.739,5.121,1.931,4.005,2.015
"Population ages 00-04, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,3.048,14.954,6.36,5.702,2.073,4.061,2.018
"Population ages 05-09, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.649,12.981,5.754,5.223,1.666,3.074,1.777
"Population ages 05-09, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,3.938,13.222,6.338,5.777,1.707,3.012,1.77
"Population ages 10-14, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.554,13.018,5.867,5.384,1.61,2.616,1.633
"Population ages 10-14, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,3.924,13.129,6.421,6.001,1.574,2.541,1.597
"Population ages 15-19, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.692,12.409,6.115,5.71,1.685,1.827,1.434
"Population ages 15-19, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,4.074,12.496,6.671,6.255,1.659,1.596,1.376
Population ages 15-64 (% of total population),42,3.494,0.0,float64,1160,1160,0,49.896,73.344,66.524,66.546,3.036,4.231,-1.028
"Population ages 15-64, female",42,3.494,0.0,float64,1160,1157,3,9233.0,53774333.0,5241013.436,1799730.5,9107760.742,10.776,3.033
"Population ages 15-64, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,49.364,73.247,65.296,65.215,3.101,3.099,-0.683
"Population ages 15-64, male",42,3.494,0.0,float64,1160,1155,5,9522.0,49260052.0,5137201.156,1821944.0,8770136.564,8.929,2.821
"Population ages 15-64, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,50.45,74.55,67.835,67.84,3.323,3.66,-1.058
"Population ages 15-64, total",42,3.494,0.0,float64,1160,1159,1,18842.0,103034385.0,10378214.597,3617915.5,17872311.308,9.836,2.925
"Population ages 20-24, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.83,10.878,6.432,6.037,1.533,0.139,0.881
"Population ages 20-24, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,4.232,11.08,6.987,6.509,1.527,-0.17,0.793
"Population ages 25-29, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.758,9.631,6.701,6.48,1.212,-0.466,0.287
"Population ages 25-29, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,4.196,10.567,7.209,7.029,1.229,-0.497,0.193
"Population ages 30-34, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,3.985,10.235,6.85,6.744,0.916,0.698,0.263
"Population ages 30-34, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,4.251,10.518,7.274,7.227,0.991,0.359,0.064
"Population ages 35-39, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,4.323,10.106,6.886,6.775,0.811,1.556,0.675
"Population ages 35-39, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,4.175,10.235,7.215,7.149,0.9,0.825,0.177
"Population ages 40-44, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,4.47,10.058,6.926,6.848,0.861,1.019,0.583
"Population ages 40-44, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,3.936,10.151,7.171,7.12,0.968,0.386,0.064
"Population ages 45-49, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,4.027,9.517,6.885,6.867,0.88,0.736,0.012
"Population ages 45-49, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,3.83,9.853,7.057,7.064,1.008,0.347,-0.311
"Population ages 50-54, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,2.678,9.404,6.671,6.716,0.965,1.576,-0.758
"Population ages 50-54, male (% of male population)",42,3.494,0.0,float64,1160,1160,0,2.534,9.259,6.75,6.854,1.093,1.308,-0.885
"Population ages 55-59, female (% of female population)",42,3.494,0.0,float64,1160,1160,0,1.553,9.126,6.264,6.444,1.187,1.582,-1.138
