Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
CountryShortName,0,0.0,0.0,object,1742,85,85,.,.,.,.,.,.,.
Year,0,0.0,0.0,float64,1742,21,21,2004.0,2024.0,2013.753,2014.0,5.921,-1.197,0.006
Age dependency ratio (% of working-age population),42,2.411,0.0,float64,1700,1700,0,17.303,100.416,47.715,48.669,9.863,2.811,0.138
"Age dependency ratio, old (% of working-age population)",42,2.411,0.0,float64,1700,1700,0,1.012,74.792,19.77,20.531,10.375,2.092,0.588
"Age dependency ratio, young (% of working-age population)",42,2.411,0.0,float64,1700,1700,0,15.235,64.697,27.945,26.108,8.229,3.714,1.698
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),42,2.411,47.991,float64,1700,3,3,0.0,1.0,0.502,0.5,0.497,-1.99,-0.008
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",42,2.411,35.878,float64,1700,2,2,0.0,1.0,0.632,1.0,0.482,-1.7,-0.549
CRVS (WDI),42,2.411,54.018,float64,1700,3,3,0.0,1.0,0.441,0.0,0.494,-1.933,0.24
Dimension 1.5: Data use by international organizations,42,2.411,12.744,float64,1700,13,12,0.0,1.0,0.492,0.4,0.323,-1.005,0.166
Dimension 4.2: Administrative Data,42,2.411,54.018,float64,1700,3,3,0.0,1.0,0.441,0.0,0.494,-1.933,0.24
Labor force participation rate by sex and age (%),42,2.411,43.571,float64,1700,3,3,0.0,1.0,0.516,0.5,0.481,-1.916,-0.062
Net migration,42,2.411,1.263,float64,1700,1567,82,-988751.0,1889129.0,59069.081,1296.0,198908.807,38.134,5.279
Pillar 1  - Data Use - Score,42,2.411,12.744,float64,1700,13,12,0.0,100.0,49.239,40.0,32.275,-1.005,0.166
Population ages 0-14 (% of total population),42,2.411,0.0,float64,1700,1700,0,10.699,38.323,18.868,17.645,5.045,1.853,1.317
"Population ages 0-14, female",42,2.411,0.0,float64,1700,1677,22,1572.0,29974283.0,1276157.679,160507.0,3626117.68,41.845,6.0
"Population ages 0-14, female (% of female population)",42,2.411,0.0,float64,1700,1700,0,9.571,38.381,18.781,17.223,5.712,0.878,1.155
"Population ages 0-14, male",42,2.411,0.0,float64,1700,1678,22,1715.0,31626556.0,1346481.133,168024.5,3823723.739,41.809,5.995
"Population ages 0-14, male (% of male population)",42,2.411,0.0,float64,1700,1700,0,9.258,38.886,19.242,18.056,4.99,2.236,1.338
"Population ages 0-14, total",42,2.411,0.0,float64,1700,1687,12,3287.0,61600838.0,2622638.816,328531.5,7449792.493,41.827,5.997
"Population ages 00-04, female (% of female population)",42,2.411,0.0,float64,1700,1700,0,2.549,15.272,6.188,5.525,2.168,1.751,1.379
