Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
CountryShortName,0,0.0,0.0,object,423,21,21,.,.,.,.,.,.,.
Year,0,0.0,0.0,float64,423,21,21,2004.0,2024.0,2013.574,2014.0,5.82,-1.201,0.003
Age dependency ratio (% of working-age population),3,0.709,0.0,float64,420,420,0,17.303,99.436,52.214,51.49,17.872,-0.509,0.071
"Age dependency ratio, old (% of working-age population)",3,0.709,0.0,float64,420,420,0,1.012,29.531,7.356,6.066,5.387,4.302,1.984
"Age dependency ratio, young (% of working-age population)",3,0.709,0.0,float64,420,420,0,16.08,93.925,44.858,43.691,17.611,-0.489,0.448
Agriculture census (Availability score over 20 years),3,0.709,37.116,float64,420,3,3,0.0,1.0,0.545,0.5,0.456,-1.778,-0.18
Agriculture survey (Availability score over 10 years),3,0.709,57.21,float64,420,4,4,0.0,1.0,0.305,0.0,0.405,-0.976,0.853
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),3,0.709,62.648,float64,420,3,3,0.0,1.0,0.289,0.0,0.408,-0.877,0.914
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",3,0.709,13.239,float64,420,2,2,0.0,1.0,0.867,1.0,0.34,2.7,-2.165
Business/establishment census (Availability score over 20 years),3,0.709,78.487,float64,420,3,3,0.0,1.0,0.195,0.0,0.388,0.456,1.542
Business/establishment survey (Availability score over 10 years),3,0.709,58.629,float64,420,4,4,0.0,1.0,0.363,0.0,0.458,-1.59,0.566
CRVS (WDI),3,0.709,65.721,float64,420,3,3,0.0,1.0,0.31,0.0,0.447,-1.24,0.825
Control of Corruption: Estimate,3,0.709,0.0,float64,420,420,0,-1.799,1.559,-0.269,-0.298,0.786,-0.856,0.05
Control of Corruption: Number of Sources,3,0.709,0.0,float64,420,12,12,3.0,14.0,8.202,8.0,2.336,-0.389,0.3
Control of Corruption: Percentile Rank,3,0.709,0.0,float64,420,327,71,0.472,91.388,43.75,46.634,25.662,-1.193,-0.141
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",3,0.709,11.111,float64,420,287,63,0.0,85.167,34.69,31.429,25.471,-1.307,0.163
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",3,0.709,0.0,float64,420,310,80,4.717,93.78,52.519,56.174,24.558,-0.94,-0.337
Control of Corruption: Standard Error,3,0.709,0.0,float64,420,367,40,0.127,0.312,0.178,0.172,0.031,3.033,1.457
DEC alternative conversion factor (LCU per US$),3,0.709,0.0,float64,420,254,15,0.269,353510.128,3642.496,3.746,25250.808,122.588,10.473
Dimension 1.5: Data use by international organizations,3,0.709,1.182,float64,420,15,13,0.0,1.0,0.493,0.4,0.264,-1.104,0.347
