Feature,# NaN,% NaN,% Zero,Dtype,# Count,# Unique,# Dupes,Min,Max,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
CountryShortName,0,0.0,0.0,object,967,48,48,.,.,.,.,.,.,.
Year,0,0.0,0.0,float64,967,21,21,2004.0,2024.0,2013.576,2014.0,5.817,-1.201,0.003
Age dependency ratio (% of working-age population),7,0.724,0.0,float64,960,960,0,38.392,110.088,82.336,84.848,14.83,1.025,-0.991
"Age dependency ratio, old (% of working-age population)",7,0.724,0.0,float64,960,960,0,3.262,17.991,5.9,5.578,1.64,11.157,2.547
"Age dependency ratio, young (% of working-age population)",7,0.724,0.0,float64,960,960,0,21.025,105.216,76.436,79.197,15.984,1.588,-1.161
Agriculture census (Availability score over 20 years),7,0.724,46.122,float64,960,3,3,0.0,1.0,0.477,0.5,0.47,-1.862,0.091
Agriculture survey (Availability score over 10 years),7,0.724,62.565,float64,960,4,4,0.0,1.0,0.273,0.0,0.402,-0.655,1.044
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),7,0.724,55.636,float64,960,3,3,0.0,1.0,0.283,0.0,0.354,-0.573,0.844
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",7,0.724,8.066,float64,960,2,2,0.0,1.0,0.919,1.0,0.273,7.441,-3.07
Business/establishment census (Availability score over 20 years),7,0.724,73.526,float64,960,3,3,0.0,1.0,0.254,0.0,0.432,-0.695,1.134
Business/establishment survey (Availability score over 10 years),7,0.724,74.147,float64,960,4,4,0.0,1.0,0.161,0.0,0.312,1.851,1.804
CRVS (WDI),7,0.724,93.588,float64,960,3,3,0.0,1.0,0.055,0.0,0.226,13.34,3.901
Dimension 1.5: Data use by international organizations,7,0.724,2.378,float64,960,22,21,0.0,1.0,0.479,0.4,0.273,-1.175,0.362
Dimension 3.1: Social Statistics,7,0.724,0.0,float64,960,741,147,0.031,0.933,0.596,0.605,0.133,0.599,-0.387
Dimension 3.2: Economic Statistics,7,0.724,0.0,float64,960,588,214,0.221,0.932,0.538,0.525,0.144,-0.24,0.492
Dimension 3.4: Institutional Statistics,7,0.724,0.103,float64,960,241,154,0.0,0.969,0.565,0.562,0.158,0.221,-0.376
Dimension 4.1: Censuses and Surveys - Censuses only,7,0.724,8.376,float64,960,7,7,0.0,1.0,0.52,0.5,0.275,-0.586,-0.079
Dimension 4.1: Censuses and Surveys - Surveys only,7,0.724,1.344,float64,960,31,28,0.0,1.0,0.456,0.4,0.226,-0.607,0.239
Dimension 4.2: Administrative Data,7,0.724,93.588,float64,960,3,3,0.0,1.0,0.055,0.0,0.226,13.34,3.901
GOAL 10: Reduced Inequality (5 year moving average),7,0.724,0.103,float64,960,17,16,0.0,0.9,0.507,0.5,0.136,0.853,0.878
GOAL 11: Sustainable Cities and Communities (5 year moving average),7,0.724,26.163,float64,960,19,18,0.0,1.0,0.496,0.6,0.36,-1.341,-0.191
