Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Age dependency ratio (% of working-age population),float64,60,0,60,0,42.897,53.909,0.0,0.0,47.988,48.055,3.2,-1.204,0.169
"Age dependency ratio, old (% of working-age population)",float64,60,0,60,0,17.281,32.069,0.0,0.0,22.461,21.679,3.822,-0.579,0.63
"Age dependency ratio, young (% of working-age population)",float64,60,0,60,0,21.282,30.513,0.0,0.0,25.527,24.24,2.725,-1.283,0.266
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),float64,60,0,2,2,0.0,1.0,0.0,33.333,0.667,1.0,0.475,-1.526,-0.725
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",float64,60,0,2,2,0.0,1.0,0.0,33.333,0.667,1.0,0.475,-1.526,-0.725
CRVS (WDI),float64,60,0,2,2,0.0,1.0,0.0,55.0,0.45,0.0,0.502,-2.026,0.206
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),float64,60,0,60,0,-39.287,41.941,0.0,0.0,13.725,17.913,19.445,0.083,-0.812
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),float64,60,0,60,0,0.153,5888.308,0.0,0.0,1936.576,575.283,2375.395,-1.425,0.727
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),float64,60,0,60,0,2.405,20.082,0.0,0.0,12.374,15.411,6.018,-1.424,-0.592
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),float64,60,0,60,0,0.009,646.307,0.0,0.0,224.066,88.031,259.899,-1.484,0.677
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),float64,60,0,41,1,0.0,313.92,0.0,33.333,137.333,118.604,122.459,-1.531,0.242
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),float64,60,0,58,2,0.005,511.674,0.0,0.0,173.166,67.255,201.319,-1.474,0.681
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),float64,60,0,49,7,0.001,163.513,0.0,0.0,59.211,29.452,64.82,-1.449,0.639
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),float64,60,0,60,0,0.082,2522.866,0.0,0.0,717.603,101.498,972.506,-1.142,0.85
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),float64,60,0,60,0,0.055,1807.722,0.0,0.0,622.04,168.373,772.098,-1.495,0.71
Carbon intensity of GDP (kg CO2e per 2021 PPP $),float64,60,0,60,0,0.024,0.345,0.0,0.0,0.201,0.255,0.119,-1.528,-0.47
Carbon intensity of GDP (kg CO2e per constant 2021 US$ of GDP),float64,60,0,60,0,0.021,0.44,0.0,0.0,0.239,0.297,0.152,-1.545,-0.399
"Compulsory education, duration (years)",float64,60,0,3,3,10.0,13.0,0.0,0.0,11.667,12.0,1.258,-1.526,-0.392
Control of Corruption: Estimate,float64,60,0,60,0,1.019,2.062,0.0,0.0,1.469,1.324,0.305,-1.082,0.621
Control of Corruption: Number of Sources,float64,60,0,8,8,1.0,13.0,0.0,0.0,7.333,9.5,4.689,-1.554,-0.51
Control of Corruption: Percentile Rank,float64,60,0,50,8,81.905,96.651,0.0,0.0,89.92,88.625,3.963,-0.93,0.055
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",float64,60,0,55,5,65.566,93.78,0.0,0.0,81.154,81.429,9.167,-1.355,-0.179
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",float64,60,0,46,9,88.571,99.524,0.0,0.0,94.524,95.133,3.023,-0.867,-0.392
Control of Corruption: Standard Error,float64,60,0,60,0,0.129,0.464,0.0,0.0,0.24,0.162,0.127,-1.395,0.749
DEC alternative conversion factor (LCU per US$),float64,60,0,21,1,0.989,1.35,0.0,0.0,1.064,1.0,0.117,0.703,1.544
Dimension 1.5: Data use by international organizations,float64,60,0,7,6,0.0,1.0,0.0,10.0,0.548,0.4,0.328,-1.034,0.113
Dimension 3.1: Social Statistics,float64,60,0,44,9,0.117,0.856,0.0,0.0,0.444,0.524,0.231,-1.191,-0.218
Dimension 3.2: Economic Statistics,float64,60,0,44,13,0.117,0.956,0.0,0.0,0.437,0.45,0.228,-0.588,0.316
