Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
ARI treatment (% of children under 5 taken to a health provider),float64,2,793,2,0,69.0,72.6,99.748,0.0,70.8,70.8,2.546,.,.
Access to clean fuels and technologies for cooking  (% of population),float64,474,321,291,42,0.0,100.0,40.377,0.252,68.248,86.75,35.829,-1.081,-0.727
"Access to clean fuels and technologies for cooking, rural (% of rural population)",float64,474,321,269,41,0.0,100.0,40.377,1.258,59.497,73.302,39.998,-1.559,-0.379
"Access to clean fuels and technologies for cooking, urban (% of urban population)",float64,474,321,270,50,0.0,100.0,40.377,0.252,77.196,95.06,31.858,0.069,-1.243
Access to electricity (% of population),float64,526,269,219,32,7.7,100.0,33.836,0.0,87.01,100.0,22.658,2.057,-1.758
"Access to electricity, rural (% of rural population)",float64,509,286,197,44,1.0,100.0,35.975,0.0,82.373,100.0,30.165,0.775,-1.525
"Access to electricity, urban (% of urban population)",float64,522,273,196,32,15.0,100.0,34.34,0.0,94.462,100.0,12.171,11.247,-3.07
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),float64,160,635,157,3,5.83,100.0,79.874,0.0,67.196,69.005,25.737,-1.014,-0.328
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",float64,160,635,151,3,4.19,100.0,79.874,0.0,64.124,65.4,27.74,-1.173,-0.243
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",float64,160,635,153,3,7.71,100.0,79.874,0.0,70.375,72.515,23.983,-0.771,-0.459
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",float64,160,635,154,3,5.74,100.0,79.874,0.0,69.055,71.2,25.017,-0.885,-0.4
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",float64,160,635,157,2,4.01,100.0,79.874,0.0,60.97,60.18,28.43,-1.331,-0.1
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",float64,160,635,151,4,4.46,100.0,79.874,0.0,57.539,56.625,27.074,-1.199,0.067
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",float64,160,635,148,4,7.05,100.0,79.874,0.0,71.333,75.84,24.327,-0.629,-0.55
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",float64,160,635,153,5,19.53,100.0,79.874,0.0,74.659,77.78,21.576,-0.523,-0.621
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",float64,160,635,146,4,5.01,100.0,79.874,0.0,61.751,62.445,27.627,-1.153,-0.181
Adequacy of social insurance programs (% of total welfare of beneficiary households),float64,2,793,2,0,25.417,41.644,99.748,0.0,33.531,33.531,11.474,.,.
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),float64,4,791,4,0,5.297,42.339,99.497,0.0,23.566,23.313,18.595,-5.21,0.026
Adequacy of social safety net programs (% of total welfare of beneficiary households),float64,4,791,4,0,4.869,42.339,99.497,0.0,16.158,8.711,17.768,3.231,1.802
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),float64,1,794,1,0,8.716,8.716,99.874,0.0,8.716,8.716,,.,.
Adjusted net national income (annual % growth),float64,175,620,173,2,-65.657,38.975,77.987,0.0,4.34,4.818,8.704,25.975,-2.33
Adjusted net national income (constant 2015 US$),float64,173,622,172,1,321310255.862,69562553946008.14,78.239,0.0,3162817165270.928,75820990534.399,9062796105288.346,21.913,4.271
Adjusted net national income (current US$),float64,214,581,213,1,359689526.662,76892463673445.11,73.082,0.0,2887005635431.202,57860544097.367,9121339402593.346,27.883,4.816
Adjusted net national income per capita (annual % growth),float64,175,620,174,1,-66.269,36.597,77.987,0.0,3.32,3.882,8.758,24.191,-2.404
Adjusted net national income per capita (constant 2015 US$),float64,173,622,172,1,182.791,65364.268,78.239,0.0,10551.459,4618.896,13971.477,3.665,2.01
Adjusted net national income per capita (current US$),float64,214,581,213,1,150.933,77781.176,73.082,0.0,11123.45,4236.615,15686.511,3.789,2.076
"Adjusted net savings, excluding particulate emission damage (% of GNI)",float64,165,630,163,2,-80.145,37.273,79.245,0.0,8.956,9.205,11.46,21.876,-2.9
"Adjusted net savings, excluding particulate emission damage (current US$)",float64,124,671,124,0,-10760647658.043,2953309412690.56,84.403,0.0,70615751260.497,5245809785.713,289981394665.403,81.513,8.514
"Adjusted net savings, including particulate emission damage (% of GNI)",float64,158,637,156,2,-81.622,32.184,80.126,0.0,8.366,9.085,11.479,23.616,-3.208
