Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Access to clean fuels and technologies for cooking  (% of population),float64,122,133,5,1,29.45,100.0,52.157,0.0,98.847,100.0,8.884,58.463,-7.713
"Access to clean fuels and technologies for cooking, rural (% of rural population)",float64,122,133,4,2,24.2,100.0,52.157,0.0,98.754,100.0,9.553,58.441,-7.711
"Access to clean fuels and technologies for cooking, urban (% of urban population)",float64,122,133,5,1,23.25,100.0,52.157,0.0,98.745,100.0,9.655,58.464,-7.713
Access to electricity (% of population),float64,168,87,7,2,92.9,100.0,34.118,0.0,99.856,100.0,0.926,43.774,-6.629
"Access to electricity, rural (% of rural population)",float64,167,88,5,1,91.2,100.0,34.51,0.0,99.892,100.0,0.939,80.674,-9.025
"Access to electricity, urban (% of urban population)",float64,168,87,8,2,97.5,100.0,34.118,0.0,99.954,100.0,0.273,55.868,-7.212
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),float64,45,210,44,1,44.97,100.0,82.353,0.0,93.56,97.55,10.387,10.776,-2.995
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",float64,45,210,38,1,43.11,100.0,82.353,0.0,92.964,97.49,11.285,9.024,-2.815
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",float64,45,210,40,1,46.95,100.0,82.353,0.0,94.117,97.57,9.844,11.896,-3.138
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",float64,45,210,40,2,46.44,100.0,82.353,0.0,94.093,98.6,10.192,10.826,-3.019
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",float64,45,210,43,1,32.41,100.0,82.353,0.0,90.791,95.55,13.408,8.081,-2.634
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",float64,45,210,39,1,31.22,100.0,82.353,0.0,85.788,92.44,16.419,2.59,-1.604
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",float64,45,210,34,3,53.33,100.0,82.353,0.0,95.401,98.69,8.533,13.329,-3.316
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",float64,45,210,41,2,51.92,100.0,82.353,0.0,95.006,98.14,8.853,12.895,-3.295
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",float64,45,210,34,1,40.42,100.0,82.353,0.0,90.696,94.46,12.439,5.472,-2.157
Adjusted net national income (annual % growth),float64,43,212,43,0,-3.401,17.984,83.137,0.0,5.571,5.365,4.442,0.969,0.443
Adjusted net national income (constant 2015 US$),float64,43,212,43,0,1380854388.305,17373020331178.615,83.137,0.0,891929546047.286,185386607332.742,2686688707658.16,35.707,5.781
Adjusted net national income (current US$),float64,51,204,51,0,849820404.517,19593000990250.4,80.0,0.0,892076191972.274,207100908403.858,2800806364813.492,41.687,6.227
