Feature,Dtype,# Count,# NaN,# Unique,# Dupes,Min,Max,% NaN,% Zero,Mean,Median,Std Dev,Kurtosis (3),Skew (0)
Access to clean fuels and technologies for cooking  (% of population),float64,104,58,87,10,21.9,99.9,35.802,0.0,83.939,89.75,17.58,2.29,-1.645
"Access to clean fuels and technologies for cooking, rural (% of rural population)",float64,104,58,93,10,0.6,99.9,35.802,0.0,70.641,82.4,28.649,0.006,-1.088
"Access to clean fuels and technologies for cooking, urban (% of urban population)",float64,104,58,71,19,26.7,99.9,35.802,0.0,91.375,96.2,13.286,9.37,-2.789
Access to electricity (% of population),float64,106,56,32,4,55.2,100.0,34.568,0.0,96.626,100.0,9.07,9.805,-3.21
"Access to electricity, rural (% of rural population)",float64,102,60,23,11,1.4,100.0,37.037,0.0,92.755,100.0,21.28,9.324,-3.236
"Access to electricity, urban (% of urban population)",float64,104,58,24,8,74.7,100.0,35.802,0.0,98.642,100.0,4.128,21.637,-4.443
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),float64,37,125,37,0,18.57,98.46,77.16,0.0,67.172,68.49,19.112,-0.389,-0.386
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",float64,37,125,37,0,14.89,98.97,77.16,0.0,63.766,62.55,20.458,-0.546,-0.307
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",float64,37,125,37,0,22.21,98.61,77.16,0.0,70.798,70.59,18.317,-0.183,-0.49
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",float64,37,125,37,0,21.47,99.21,77.16,0.0,69.104,67.87,18.886,-0.348,-0.427
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",float64,37,125,37,0,14.43,98.29,77.16,0.0,59.686,58.61,22.0,-0.874,-0.066
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",float64,37,125,37,0,15.48,96.53,77.16,0.0,54.889,51.75,20.238,-0.678,0.362
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",float64,37,125,37,0,21.32,98.57,77.16,0.0,72.142,75.82,17.661,0.392,-0.708
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",float64,37,125,37,0,22.97,99.07,77.16,0.0,73.437,75.72,17.945,0.067,-0.606
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",float64,37,125,36,1,12.49,97.0,77.16,0.0,61.006,61.03,20.724,-0.603,-0.217
Adequacy of social insurance programs (% of total welfare of beneficiary households),float64,2,160,2,0,25.417,41.644,98.765,0.0,33.531,33.531,11.474,.,.
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),float64,4,158,4,0,5.297,42.339,97.531,0.0,23.566,23.313,18.595,-5.21,0.026
