CountryShortName,missing_count,missing_percentage,Income Group,Region
Iran,798.0,8.163682864450127,Upper middle income,Middle East & North Africa
United Arab Emirates,766.0,9.51552795031056,High income,Middle East & North Africa
Trinidad and Tobago,764.0,7.815856777493606,High income,Latin America & Caribbean
St. Vincent and the Grenadines,738.0,7.549872122762149,Upper middle income,Latin America & Caribbean
Papua New Guinea,711.0,8.832298136645962,Lower middle income,East Asia & Pacific
St. Lucia,701.0,7.619565217391304,Upper middle income,Latin America & Caribbean
Barbados,686.0,8.521739130434783,High income,Latin America & Caribbean
Eswatini,679.0,6.946291560102303,Lower middle income,Sub-Saharan Africa
Guyana,671.0,6.864450127877237,High income,Latin America & Caribbean
Malawi,670.0,6.854219948849105,Low income,Sub-Saharan Africa
Serbia,660.0,8.198757763975156,Upper middle income,Europe & Central Asia
Maldives,634.0,6.891304347826087,Upper middle income,South Asia
Nigeria,611.0,6.641304347826087,Lower middle income,Sub-Saharan Africa
Libya,604.0,8.080267558528428,Upper middle income,Middle East & North Africa
São Tomé and Principe,577.0,8.36231884057971,Lower middle income,Sub-Saharan Africa
Suriname,557.0,6.054347826086957,Upper middle income,Latin America & Caribbean
Afghanistan,532.0,7.117056856187292,Low income,South Asia
Haiti,525.0,5.3708439897698215,Lower middle income,Latin America & Caribbean
Montenegro,522.0,8.25296442687747,Upper middle income,Europe & Central Asia
Viet Nam,485.0,4.961636828644502,Lower middle income,East Asia & Pacific
Ethiopia,478.0,4.618357487922705,Low income,Sub-Saharan Africa
Central African Republic,463.0,8.946859903381643,Low income,Sub-Saharan Africa
Venezuela,463.0,8.946859903381643,,Latin America & Caribbean
Sierra Leone,440.0,4.501278772378517,Low income,Sub-Saharan Africa
Samoa,434.0,4.717391304347826,Lower middle income,East Asia & Pacific
Mauritania,431.0,4.684782608695652,Lower middle income,Sub-Saharan Africa
Tonga,429.0,4.388746803069054,Upper middle income,East Asia & Pacific
The Bahamas,414.0,4.235294117647059,High income,Latin America & Caribbean
Iceland,409.0,3.951690821256039,High income,Europe & Central Asia
Myanmar,408.0,7.884057971014492,Lower middle income,East Asia & Pacific
Brunei,402.0,4.1125319693094635,High income,East Asia & Pacific
Bahrain,400.0,4.092071611253197,High income,Middle East & North Africa
Lao PDR,400.0,4.092071611253197,Lower middle income,East Asia & Pacific
Chad,399.0,9.91304347826087,Low income,Sub-Saharan Africa
Kuwait,397.0,4.061381074168798,High income,Middle East & North Africa
