Indicator,Source Table,Missing Count,Missing Percentage
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,698,87.79874213836479
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,692,87.04402515723271
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,701,88.17610062893083
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,695,87.42138364779875
"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,692,87.04402515723271
"Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,769,96.72955974842768
"Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP",QPSDBudgetaryCentralGovIndicator,765,96.22641509433963
"Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,692,87.04402515723271
"Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,774,97.35849056603773
"Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,692,87.04402515723271
"Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,755,94.9685534591195
"Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,765,96.22641509433963
"Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, % of GDP",QPSDBudgetaryCentralGovIndicator,692,87.04402515723271
