Indicator,Source Table,Missing Count,Missing Percentage
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),SPIIndicator,0,0.0
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPIIndicator,0,0.0
CRVS (WDI),SPIIndicator,0,0.0
Dimension 1.5: Data use by international organizations,SPIIndicator,0,0.0
Dimension 3.1: Social Statistics,SPIIndicator,0,0.0
Dimension 3.2: Economic Statistics,SPIIndicator,0,0.0
Dimension 3.3: Environmental Statistics,SPIIndicator,54,5.263157894736842
Dimension 3.4: Institutional Statistics,SPIIndicator,0,0.0
Dimension 4.2: Administrative Data,SPIIndicator,0,0.0
GOAL 10: Reduced Inequality (5 year moving average),SPIIndicator,0,0.0
GOAL 11: Sustainable Cities and Communities (5 year moving average),SPIIndicator,0,0.0
GOAL 12: Responsible Consumption and Production (5 year moving average),SPIIndicator,0,0.0
GOAL 13: Climate Action (5 year moving average),SPIIndicator,54,5.263157894736842
GOAL 15: Life on Land (5 year moving average),SPIIndicator,0,0.0
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPIIndicator,0,0.0
GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPIIndicator,0,0.0
GOAL 1: No Poverty (5 year moving average),SPIIndicator,0,0.0
GOAL 2: Zero Hunger (5 year moving average),SPIIndicator,0,0.0
GOAL 3: Good Health and Well-being (5 year moving average),SPIIndicator,0,0.0
GOAL 4: Quality Education (5 year moving average),SPIIndicator,0,0.0
GOAL 5: Gender Equality (5 year moving average),SPIIndicator,0,0.0
GOAL 6: Clean Water and Sanitation (5 year moving average),SPIIndicator,0,0.0
GOAL 7: Affordable and Clean Energy (5 year moving average),SPIIndicator,0,0.0
GOAL 8: Decent Work and Economic Growth (5 year moving average),SPIIndicator,0,0.0
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPIIndicator,0,0.0
Health/Demographic survey (Availability score over 10 years),SPIIndicator,36,3.508771929824561
Labor Force Survey (Availability score over 10 years),SPIIndicator,18,1.7543859649122806
Labor force participation rate by sex and age (%),SPIIndicator,0,0.0
Pillar 1  - Data Use - Score,SPIIndicator,0,0.0
Pillar 3 - Data Products - Score,SPIIndicator,54,5.263157894736842
Population & Housing census (Availability score over 20 years),SPIIndicator,36,3.508771929824561
Quality of Debt service data according to World Bank,SPIIndicator,0,0.0
Safely Managed Drinking Water,SPIIndicator,0,0.0
Year,Unknown Source,0,0.0
Adjusted savings: carbon dioxide damage (current US$),WDIEconomicIndicator,47,4.580896686159844
