Column,missing_count,missing_percent,Source Table
CountryShortName,0,0.0,
Year,0,0.0,Unknown Source
GOAL 13: Climate Action (5 year moving average),144,4.98960498960499,SPIIndicator
Pillar 3 - Data Products - Score,144,4.98960498960499,SPIIndicator
Dimension 4.2: Administrative Data,0,0.0,SPIIndicator
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,SPIIndicator
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,SPIIndicator
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,SPIIndicator
GOAL 15: Life on Land (5 year moving average),0,0.0,SPIIndicator
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,SPIIndicator
GOAL 17: Partnerships to achieve the Goal (5 year moving average),0,0.0,SPIIndicator
GOAL 1: No Poverty (5 year moving average),0,0.0,SPIIndicator
GOAL 2: Zero Hunger (5 year moving average),0,0.0,SPIIndicator
GOAL 3: Good Health and Well-being (5 year moving average),0,0.0,SPIIndicator
GOAL 4: Quality Education (5 year moving average),0,0.0,SPIIndicator
GOAL 5: Gender Equality (5 year moving average),0,0.0,SPIIndicator
GOAL 6: Clean Water and Sanitation (5 year moving average),0,0.0,SPIIndicator
GOAL 7: Affordable and Clean Energy (5 year moving average),0,0.0,SPIIndicator
GOAL 8: Decent Work and Economic Growth (5 year moving average),0,0.0,SPIIndicator
"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",0,0.0,SPIIndicator
Health/Demographic survey (Availability score over 10 years),0,0.0,SPIIndicator
"Household Survey on income, etc  (Availability score over 10 years)",0,0.0,SPIIndicator
Labor Force Survey (Availability score over 10 years),0,0.0,SPIIndicator
Labor force participation rate by sex and age (%),0,0.0,SPIIndicator
Pillar 1  - Data Use - Score,0,0.0,SPIIndicator
Population & Housing census (Availability score over 20 years),0,0.0,SPIIndicator
Quality of Debt service data according to World Bank,0,0.0,SPIIndicator
Safely Managed Drinking Water,0,0.0,SPIIndicator
