Column,missing_count,missing_percent,Source Table
CountryShortName,0,0.0,
Year,0,0.0,Unknown Source
Agriculture census (Availability score over 20 years),0,0.0,SPIIndicator
Agriculture survey (Availability score over 10 years),0,0.0,SPIIndicator
Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average),0,0.0,SPIIndicator
"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",0,0.0,SPIIndicator
Business/establishment census (Availability score over 20 years),0,0.0,SPIIndicator
Business/establishment survey (Availability score over 10 years),0,0.0,SPIIndicator
CRVS (WDI),0,0.0,SPIIndicator
Dimension 1.5: Data use by international organizations,0,0.0,SPIIndicator
Dimension 3.1: Social Statistics,0,0.0,SPIIndicator
Dimension 3.2: Economic Statistics,0,0.0,SPIIndicator
Dimension 3.3: Environmental Statistics,144,4.98960498960499,SPIIndicator
Dimension 3.4: Institutional Statistics,0,0.0,SPIIndicator
Dimension 4.1: Censuses and Surveys - Censuses only,0,0.0,SPIIndicator
Dimension 4.1: Censuses and Surveys - Surveys only,0,0.0,SPIIndicator
Dimension 4.2: Administrative Data,0,0.0,SPIIndicator
GOAL 10: Reduced Inequality (5 year moving average),0,0.0,SPIIndicator
GOAL 11: Sustainable Cities and Communities (5 year moving average),0,0.0,SPIIndicator
GOAL 12: Responsible Consumption and Production (5 year moving average),0,0.0,SPIIndicator
GOAL 13: Climate Action (5 year moving average),144,4.98960498960499,SPIIndicator
GOAL 15: Life on Land (5 year moving average),0,0.0,SPIIndicator
GOAL 16: Peace and Justice Strong Institutions (5 year moving average),0,0.0,SPIIndicator
GOAL 17: Partnerships to achieve the Goal (5 year moving average),0,0.0,SPIIndicator
GOAL 1: No Poverty (5 year moving average),0,0.0,SPIIndicator
GOAL 2: Zero Hunger (5 year moving average),0,0.0,SPIIndicator
GOAL 3: Good Health and Well-being (5 year moving average),0,0.0,SPIIndicator
GOAL 4: Quality Education (5 year moving average),0,0.0,SPIIndicator
