,0
0,People practicing open defecation (% of population)
1,Prevalence of undernourishment (% of population)
2,"Prevalence of overweight (modeled estimate, % of children under 5)"
3,Domestic private health expenditure per capita (current US$)
4,"Population ages 0-14, total"
5,Number of maternal deaths
6,"Incidence of tuberculosis (per 100,000 people)"
7,Lifetime risk of maternal death (%)
8,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
9,Lifetime risk of maternal death (1 in: rate varies by country)
