variable,mean,std,beta_scaled,beta_unscaled
Intercept,,,70.97350580163777,75.70519063446778
"Population ages 0-14, total",9271852.752738325,20167711.27361177,-0.2172429983740799,-1.0771822118374395e-08
People practicing open defecation (% of population),8.327057410973651,14.106744278557278,-0.7328186886961526,-0.051948108948856576
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",5.686447573656846,4.1523743777679805,-0.7015201049919794,-0.16894432947760032
Domestic private health expenditure per capita (current US$),296.7236730019377,436.3288583148561,1.8903405183158521,0.004332375643491765
"Prevalence of overweight (modeled estimate, % of children under 5)",7.1526470820719945,4.2093540752360505,-0.34555689063294714,-0.08209261669525131
Number of maternal deaths,1488.234550663845,4047.140100426984,0.5332897095032714,0.00013176952027111884
Lifetime risk of maternal death (%),0.7031679015206025,1.1604722538996342,-4.17981580987619,-3.60182313349621
Lifetime risk of maternal death (1 in: rate varies by country),3499.3956134354526,5226.242031061063,1.3455263999013083,0.0002574558146952355
"Incidence of tuberculosis (per 100,000 people)",123.2153290726629,167.84945730332097,-2.2119118218732208,-0.013177950393226901
Prevalence of undernourishment (% of population),9.866898977289054,9.258024050755688,-0.8233625161974146,-0.08893501590441509
