,0
0,"International tourism, number of arrivals"
1,Region_East Asia & Pacific
2,Adjusted savings: energy depletion (% of GNI)
3,External balance on goods and services (% of GDP)
4,Final consumption expenditure (annual % growth)
5,Region_South Asia
6,Travel services (% of commercial service imports)
7,"Commercial bank branches (per 100,000 adults)"
8,"Inflation, GDP deflator (annual %)"
9,Income Group_Low income
10,"Communications, computer, etc. (% of service exports, BoP)"
11,Region_Sub-Saharan Africa
12,Income Group_Upper middle income
13,Region_Latin America & Caribbean
14,"Primary education, pupils"
15,"Claims on central government, etc. (% GDP)"
16,Ores and metals imports (% of merchandise imports)
17,GOAL 11: Sustainable Cities and Communities (5 year moving average)
18,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)"
19,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
20,"International tourism, expenditures for travel items (current US$)"
